,CR30029,pre-rRNA:CR45856,His4r,CG42815,RpS3A,Jon44E,Lcp65Ag1,CG7630,ATPsynG,RpL39,Phk-3,RpS25,CG32453,CG13731,RpS21,CG10953,sta,CG14302,RpL9,CG4362,Osi14,Mlp60A,CG8997,CG42305,Cpr65Ea,RpL35,epsilonTry,CG30413,Osi7,mt:CoII,Tm1,ATPsyndelta,CG13069,Mp20,CG18649,RpL31,RpS17,RpL14,RpL23A,RpL37a,Lcp3,Cpr51A,CG17633,RpL18,CG9747,Tpc2,Cpr65Av,betaTry,MtnA,RpS9,Acbp2,CG13060,CG13159,RpL11,CG13063,CG11911,eEF1alpha1,Jon65Aiv,mt:ATPase6,Jon65Aiii,yip7,wupA,Jon25Biii,Lcp2,RpS12,Lcp4,CG34282,CG15213,CG32266,Cpr47Eg,RpS27A,CG9083,CG31626,Gasp,RpS20,Lcp65Ac,CG8664,Osi6,RpL38,CG4115,Vha16-1,obst-A,CG13738,RpL19,Jon99Fii,Cpr78E,Ipod,CG15282,RpS23,RpS16,CG17290,ox,CG13679,CG15022,RpS11,mt:CoI,CG12310,RpL24,CG7299,TwdlM,CG14300,Jon25Bi,RpL8,Cpr67Fa2,Obp56d,TwdlB,CG11131,TwdlF,fax,Mlc2,Vajk4,RpL23,Osi20,Neb-cGP,Jon25Bii,Lsp1beta,Nplp2,CG13315,Lcp1,Mhc,alphaTry,CG15212,Hsc70-4,RpL32,CG9568,RNASEK,RpLP1,CG32073,TwdlD,TwdlW,Lcp65Ag3,up,Lsp1gamma,CG7953,RpL28,EAChm,RpL30,Obp83g,lncRNA:CR40469,Lcp65Ag2,CG17127,CG10472,Cpr64Ad,Osi15,TwdlL,lncRNA:CR34335,sesB,asRNA:CR45663,Ag5r2,RpS3,Act57B,RpS2,CG12057,CG13059,CG13043,CG30457,ATPsynC,CG14454,RpS8,Jon65Ai,RpS14a,RpL21,RpS18,RpL27,RpLP2,Tm2,TpnC47D,Mlc1,RpS4,RpS29,nur
CR30029,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
pre-rRNA:CR45856,0.5,1.0,0.5192793281495046,0.5,0.5338638176937456,0.5,0.4509906991780328,0.5547900721220774,0.5563834227546707,0.5893143821490758,0.4774922317098613,0.5711098450845524,0.4926248430985345,0.47433848045717714,0.5531696280566982,0.5063039640611432,0.5437998321402223,0.47431011049708866,0.4928258199523809,0.5,0.4658051401026694,0.6573369952321708,0.5,0.4169091527200135,0.4296225928671314,0.5516281254754846,0.5,0.4655341982138295,0.3708302654924243,0.6415003799600171,0.553121821411766,0.34529708748785515,0.5,0.5508159134839319,0.5165001240270364,0.5662043210512684,0.5750113934843057,0.5901943968690888,0.5255873173581861,0.6198955574830222,0.4564791419954249,0.4183306036789333,0.49683003770268375,0.5311482563910528,0.4033865378855509,0.33649777550877225,0.5,0.47431011049708866,0.4905715900075292,0.5327864026596679,0.5381743696869945,0.5,0.4455444325007353,0.5065445051866488,0.4909223005290066,0.4930291272143095,0.5039028332550516,0.5407588706247604,0.6073976354416357,0.48940505760191655,0.5,0.5970547304839721,0.4796271572840563,0.5,0.5935252209587467,0.4867399442991606,0.5,0.4945400781521271,0.47875311945270005,0.508269698752507,0.5574095076184722,0.32565520112284085,0.4515185902715767,0.3892979646868886,0.5841978057001204,0.5034653975724791,0.48216356892956624,0.35675880991615155,0.5735872659060768,0.448877740558635,0.4994098415320909,0.4072033566833466,0.5303149412499447,0.544246204446837,0.5,0.4852986543840445,0.3490485670579433,0.3694947044820023,0.5466092213311741,0.5214152771689277,0.500830323165999,0.558161253648526,0.5,0.4419132122899163,0.498426214252373,0.588923236776701,0.5013177796757217,0.5680685838013106,0.4879814861983,0.4682695039560278,0.47431011049708866,0.48781208860724706,0.5165334869704332,0.5149122736652505,0.5,0.4993944294041962,0.5,0.39056511027941543,0.48336086962784214,0.6305796803207716,0.3816059846752299,0.5735013068627594,0.526200979227915,0.5327445813487829,0.5,0.5,0.5905095843619736,0.533975986940584,0.5,0.5797901602862365,0.5047864518205893,0.47219702552504506,0.5253914518712595,0.5621770782709272,0.5075322537363595,0.5307688285033941,0.6041015649446342,0.5094692632645133,0.4271382083514772,0.4420761898532591,0.4666709326883451,0.530166059393106,0.5026170117821159,0.49428808732772955,0.49788713845494353,0.4591196257554643,0.6094285038975614,0.46028317026810606,0.4827401392276546,0.4775641297108297,0.5053083004280443,0.4600664043248993,0.5018328033680074,0.5311945638412273,0.4680751345620614,0.49061680432678667,0.545583723141916,0.5126246682247758,0.4826162055130476,0.5049256028602092,0.648336940560658,0.5884859249140806,0.5,0.5158405855768835,0.5034653975724791,0.5158405855768835,0.617344617312374,0.47931862771871375,0.5459629085865656,0.5,0.4983066300047346,0.5466485565653667,0.5298972598943519,0.5496383354925318,0.5243655594940515,0.5707095646885109,0.5970471398796804,0.6215309009570343,0.47502097008424476,0.5807930567987089,0.4580836265654853
His4r,0.5,0.5192793281495046,1.0,0.5,0.5087474492040018,0.5,0.5286595703423987,0.5041759138203178,0.5075703262335912,0.5468864545495437,0.4625198309615314,0.5670598253454462,0.48594605219255327,0.5118221962252452,0.5126607758616951,0.5538398156214461,0.5449450158566425,0.493292965566678,0.5348144453542452,0.5,0.5244893136769128,0.5601738038302781,0.5,0.5015808207077234,0.5102853597390778,0.5597417290666032,0.5,0.45579218173382907,0.5256951592669776,0.5186359357354878,0.5529724975894086,0.5263497397404109,0.5,0.5495759402267625,0.519868872390974,0.5431647997159134,0.5422012133605262,0.5359027182732907,0.5216742595581313,0.5467148689535315,0.47739283193998094,0.5043156798850296,0.5200534991964412,0.5296818712658552,0.5503071937355647,0.5059197693053408,0.5,0.493292965566678,0.5441685061299384,0.5455676581744601,0.4876989026271991,0.5,0.5340083429146114,0.5104516651605523,0.5286983684887334,0.46544788039240903,0.5647934967470684,0.5641037714107889,0.5173413826049176,0.48043948958446037,0.5,0.5406314929983181,0.4690556952779495,0.5,0.5148776098521265,0.5026395165682409,0.5,0.4928935202906797,0.5058125186950164,0.5088405416226541,0.515178049331801,0.5113852016194828,0.49496599676404884,0.4871453881048328,0.5576145518894026,0.508840541622654,0.49561275544520245,0.5165736985565056,0.536582240219707,0.5156596792739112,0.4982420828794447,0.4822021002391265,0.5187025773085951,0.5530271256564313,0.5,0.5058529037942536,0.48945684967703507,0.5446281795268857,0.5292011308458522,0.5386293043362748,0.5039912490344063,0.49757995899679064,0.5,0.5159568547197378,0.5355146792544748,0.5256646042442796,0.5547165357286654,0.5343050705860203,0.5344660179550201,0.5494138066165156,0.4755902641056503,0.514763015218351,0.5386471198374883,0.4988416584610547,0.5,0.4936514127309289,0.5,0.5219398393175343,0.5198027088874456,0.5609963549721282,0.5191995416065448,0.5034580701669678,0.5217144103479486,0.4975627179514867,0.5,0.5,0.5124366301885663,0.5366290704410202,0.5,0.5337347393245001,0.4905061547181256,0.488617831125489,0.5086753774778846,0.5377120631784785,0.5130808250326744,0.49673104963566234,0.5365851995990069,0.5289787643676358,0.5279430688030128,0.5071201216520375,0.5017488704478968,0.5352927404270628,0.504300419971432,0.5486788140375255,0.5630030144984596,0.49365803331185515,0.512435393368465,0.5209295209578126,0.5290496427179217,0.5546445081716772,0.4984421038831705,0.5057046434085426,0.4936490193530264,0.5448074408073282,0.5044510611879041,0.5048459606186925,0.5240849627426274,0.4863297756638395,0.4755902641056503,0.5154456682166159,0.5410396947224233,0.5278888042495833,0.5,0.5375497192192474,0.4627634148742008,0.5109956670277058,0.542549264544828,0.5131860603918034,0.5397366382542352,0.5,0.5006067955143954,0.5022114371211945,0.5311091640661675,0.5316078060875288,0.5402460453081984,0.5569190489910488,0.536537879087787,0.525483455193218,0.5235478559458279,0.5402233659507385,0.5278086101109632
CG42815,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
RpS3A,0.5,0.5338638176937456,0.5087474492040018,0.5,1.0,0.5,0.5095113625445324,0.5365967535503323,0.5580156660461302,0.6071387738311795,0.5128519578168973,0.599663752544791,0.4914973803985657,0.49340216552970445,0.5851162912811434,0.5448943621098793,0.5654645051559929,0.4882231326763922,0.608831971502294,0.5,0.5486709344208504,0.6383192618764385,0.5,0.544956901298734,0.5182981166093776,0.5467703292856665,0.5,0.5053350537032638,0.5042075149821942,0.5965411155792157,0.5777359636285242,0.55031906018026,0.5,0.5259400730811512,0.5332946785082888,0.593014824812788,0.5738390221652536,0.59549249945944,0.5925624682252378,0.5775523630439906,0.4984282041044308,0.5430234436078035,0.48865936522085934,0.5671508778281811,0.5066851220298573,0.5138648106935738,0.5,0.5212585349571404,0.5202143978537805,0.5889397655437724,0.5262297014193499,0.5,0.5918394680308858,0.5805603657589247,0.5259778781401042,0.4900100345494753,0.5948773409777809,0.4976618190423202,0.6078369197451214,0.5118433614579981,0.5,0.6069736458966952,0.4862792833799482,0.5,0.5233133379154384,0.47994795284507485,0.5,0.5159354779642334,0.5012976210465107,0.501402140888235,0.5688005214418936,0.5159922145763686,0.553753613350381,0.4878670731335928,0.5927709968256957,0.509591240331225,0.5063347377487766,0.5504242614387401,0.5707339719349788,0.5168707269372821,0.5277356565577278,0.554028661965932,0.4698337819019882,0.6054513857117221,0.5,0.49361794329652886,0.516434697941208,0.5470737090637314,0.5697698591904662,0.5771459466032598,0.4837175377962515,0.5309947935984556,0.5,0.5111002193975251,0.5875894120761258,0.5956174052538634,0.5081079107384607,0.5830622515261361,0.5195271301265358,0.5405720933153184,0.5118198485912122,0.507421192134208,0.5676616061534756,0.5460029974014102,0.5,0.5309711376278,0.5,0.5232470860359719,0.5105034934475394,0.628199716531983,0.5322970350064743,0.6043914620305069,0.5727145362936187,0.5506236779800586,0.5,0.5,0.5680835668187773,0.5065972021878696,0.5,0.5999057324872406,0.4833297775064325,0.5552107611471715,0.5567666285501234,0.5793362121344812,0.5092470406422199,0.5449261298576102,0.6248417572949456,0.5286269060044599,0.5014103010795049,0.5320117604268793,0.5192806537673823,0.5732746856337068,0.49531078502719206,0.5331693000282445,0.5705521163708478,0.5366380789222691,0.5750609451916717,0.5106847537312028,0.5250165676855761,0.49611245125977615,0.5296876185612438,0.5314449978504253,0.5322691573421239,0.5578128686182732,0.5224873982648879,0.5387507905071071,0.5140713302846637,0.46774251107266623,0.47406510312750005,0.5713178742401838,0.6171453339567734,0.5989901416146226,0.5,0.4976618190423202,0.487753641816585,0.4693457599445361,0.6052851605356456,0.523552049874496,0.5616415519189253,0.5,0.5649577219492866,0.5480490281728526,0.5829178177294039,0.5643268732707195,0.6382654796232579,0.5984115310032722,0.5944461692673926,0.5927805941406017,0.5879972900400021,0.5653629955612618,0.5823939001723534
Jon44E,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Lcp65Ag1,0.5,0.4509906991780328,0.5286595703423987,0.5,0.5095113625445324,0.5,1.0,0.4849194178418988,0.4943545172546617,0.5176141244223706,0.49390823033138453,0.5341666561592072,0.4955321283924541,0.4893193411966743,0.5680720393276705,0.4762552984399283,0.5079433599754779,0.4903522250111702,0.5300116413553106,0.5,0.4744279053330144,0.49770641597437926,0.5,0.5024294720678145,0.5162848154115892,0.48546433344212386,0.5,0.47887413097612974,0.5140184568732796,0.49169701560640566,0.5216041145249223,0.5491626069422645,0.5,0.5188333740780724,0.5239707901347335,0.49969881125116816,0.48979263049940575,0.4793723621899024,0.5200897978729699,0.4973976063562387,0.4926399505339978,0.5485073264566456,0.48550016197687984,0.48544629252415705,0.5481797574123765,0.5274907067341129,0.5,0.4903522250111702,0.5282370156240991,0.48038292615590716,0.5132055894248309,0.5,0.5133837992052923,0.513761521254506,0.4903522250111702,0.5299330990818822,0.5484792235161743,0.4903522250111702,0.48091096440490805,0.49357263381123795,0.5,0.5091994106328394,0.49216994278714277,0.5,0.5158073543942272,0.5362254619846076,0.5,0.49216994278714277,0.5092327993314741,0.4832589863198932,0.49768519884132467,0.5313935162684655,0.5612854190710765,0.5409308902833659,0.5346719999831058,0.4832589863198932,0.4860369068560373,0.5023355929267886,0.5117744503897903,0.5181349496268985,0.5326192212268379,0.5335609213679604,0.5273242858781846,0.518821018161108,0.5,0.4830056625680224,0.5590393731381942,0.545626542837398,0.5318226819907145,0.5343914320834164,0.48713206741021087,0.4692907142134597,0.5,0.48390416659492635,0.4987179356899099,0.500001531491161,0.47825692599774683,0.4897867635188848,0.5020946032016761,0.4910848141802811,0.5211465765743536,0.48704669315427257,0.48721463661620984,0.5331761754763852,0.5,0.5149269930671673,0.5,0.5498589830180071,0.5043276773601464,0.49264845198301355,0.5466714267806896,0.4909339407517049,0.4908394707387656,0.512662741721146,0.5,0.5,0.47006339993207236,0.4809198084376435,0.5,0.5170427883960413,0.4863435197822712,0.5184440040520258,0.5119419981573968,0.5208359282952709,0.5192027679594063,0.516335100603911,0.48148577708434953,0.5222393272428969,0.5240220508785073,0.5379496063324688,0.5903087363318025,0.5261015512342302,0.48065141588664934,0.5424093965740302,0.5234098386767387,0.5328521662523911,0.5020792488555758,0.5103956083750063,0.4899696164746443,0.5550375431812843,0.48209286970504805,0.5094437408591992,0.5331706519238849,0.4800638088807591,0.5151127181913953,0.526491563690391,0.5619629550407002,0.49360844966553974,0.4903522250111702,0.5200709325555756,0.5085801919054735,0.48587468954788754,0.5,0.4903522250111702,0.4832589863198932,0.4903522250111702,0.4865854559562528,0.5076159755123263,0.529371251865734,0.5,0.47885295024672053,0.4801775113484877,0.5460083090763858,0.5038853385211873,0.5018896577778675,0.4978772414463767,0.495509030766568,0.48758469420032313,0.49348964280267177,0.5142907178215373,0.5449884750425298
CG7630,0.5,0.5547900721220774,0.5041759138203178,0.5,0.5365967535503323,0.5,0.4849194178418988,1.0,0.5516595368878772,0.5465425762179255,0.46781832418064295,0.5608197016085197,0.5152892006549409,0.5072764589098612,0.555185104630236,0.5068054121085205,0.5515690695234183,0.4987476034158813,0.549907934711988,0.5,0.5007577287670157,0.57375085814068,0.5,0.5066868518913099,0.49936696058366253,0.5196130855344719,0.5,0.4735156559015647,0.4513053546488735,0.5508848292153745,0.5457398379887403,0.48133634222113775,0.5,0.5235359805196858,0.484780420566829,0.5696793795994977,0.5481008257771361,0.5699022500273689,0.5438872284939132,0.5783159107224984,0.47958363292819045,0.49216054955078503,0.48747523495754497,0.5090057122855665,0.44318645230541204,0.4517690400673411,0.5,0.518677044710987,0.5096115114911237,0.5782277703188518,0.535976847359178,0.5,0.5513376908924865,0.5220580067641369,0.5485712066536454,0.5052797848293993,0.5466504096024309,0.518677044710987,0.5744954719629953,0.47964447029984564,0.5,0.555174637298408,0.47929843035722386,0.5,0.5456371960412916,0.47709873351652166,0.5,0.4971892792102488,0.4793197399545525,0.47477217062639326,0.5168053508032912,0.45390028019854417,0.4786479546816018,0.5304972374610027,0.562203543566505,0.509354138981225,0.5118165789949047,0.4868804349248586,0.5216256604841154,0.49816629242467064,0.4719005049018048,0.48207568972379305,0.48934328426883333,0.5675098993540968,0.5,0.4905374390437273,0.4452104244459053,0.5057668988929633,0.5586014948563472,0.5451134682294634,0.46450890370756276,0.5428572651638063,0.5,0.5124849722570641,0.545069763316774,0.5743338777714921,0.49769270526987847,0.5496615104913866,0.5054135258908438,0.4905561249327756,0.5884300892438566,0.4938588909143856,0.5454030890795643,0.5086489829980979,0.5,0.4854897222051864,0.5,0.44454786620456566,0.530406756680865,0.5773745786800684,0.49633386766640875,0.559180060583528,0.56947868062834,0.5235590098029161,0.5,0.5,0.5414920804000101,0.5230673190326537,0.5,0.5790796858844232,0.4770695476387402,0.5079274801581986,0.536362680732021,0.5443221281574039,0.4976856194507472,0.4899579701820201,0.5781678705337011,0.4885976878995847,0.476661381462729,0.4619147056200967,0.501435164558606,0.5089013569245845,0.4725080502522907,0.48749621352090283,0.5281073928114354,0.5356610330311331,0.5469169692796927,0.46421975788299746,0.49102601140254426,0.46373927431671125,0.4817388984211781,0.5004552797511171,0.47718188403333067,0.5118095272918891,0.4833060972156683,0.49193464757544514,0.5299200216397951,0.4817712538371834,0.5087123240634341,0.5331378890489863,0.593463756067527,0.5599586429691656,0.5,0.49874760341588137,0.509354138981225,0.48878288276832854,0.5280744304752342,0.4856264712926111,0.5192251119355172,0.5,0.5470109076182125,0.521338509035397,0.5562474330460699,0.49065090483343027,0.5683390158344517,0.5835665400146085,0.5712645934347396,0.5573871357064238,0.5395431457630805,0.5618008639527765,0.5371666221297501
ATPsynG,0.5,0.5563834227546707,0.5075703262335912,0.5,0.5580156660461302,0.5,0.4943545172546617,0.5516595368878772,1.0,0.6097752211451919,0.47457215938471736,0.5692943911800606,0.5194381701323717,0.4803460575865526,0.5562603438300613,0.5048910431101439,0.5289921479312033,0.47760165276839717,0.5618143109633774,0.5,0.4914516758844828,0.6183735354324743,0.5,0.5223140796371981,0.47754459061582805,0.5952654859175822,0.5,0.48365582358939196,0.4532587687552428,0.5764523703379382,0.5520509292115432,0.4564327924029041,0.5,0.5621176845645639,0.5123015490349784,0.5422905304330166,0.5456814233848205,0.5646922006849349,0.5335282768724731,0.5531122818519142,0.5199596300680835,0.4587588763424475,0.5476667701406839,0.5495661486372282,0.48054827019944807,0.45293042687085017,0.5,0.5241447740028784,0.4934644628735634,0.6007804155628804,0.5359801738487328,0.5,0.5614852101066331,0.5455504345206703,0.47760165276839717,0.5275888593379313,0.553799650952669,0.5148361497559821,0.583968057461624,0.5152256914855802,0.5,0.5997795857502886,0.4873359590959173,0.5,0.5161839829080499,0.4838281188600971,0.5,0.5207617209052509,0.46403113075602365,0.5203598153597432,0.5214870568493909,0.4492047002721881,0.4900556964083703,0.477063360479335,0.5611991556273213,0.5472806694842591,0.5253184316726274,0.4758176141121959,0.5670033475955304,0.4748380783249753,0.4968997688826025,0.48574444667521877,0.5389212563476924,0.5699404874039289,0.5,0.49250259952806713,0.46327791784831157,0.48753693256081915,0.5302908846024609,0.5666609286242501,0.4956674786877793,0.5428680761251773,0.5,0.4946140938597698,0.537531772920961,0.5222658945150599,0.49977381835792295,0.5636838981504532,0.5398317702831558,0.4424167322582796,0.5241447740028784,0.4782594756494083,0.5309591529892489,0.5448159696282873,0.5,0.477539963910832,0.5,0.4639297626271638,0.4866690492067404,0.6116390822498982,0.5150440354616638,0.6203457367511582,0.5272467650553502,0.5063192307370222,0.5,0.5,0.5508671892251753,0.5195198551260577,0.5,0.5859881314432105,0.507824243709583,0.4982111700472052,0.5470270490505783,0.569217809947274,0.5088447579123238,0.5173750263326377,0.5801284394017601,0.5221387978074488,0.44478650607784753,0.5264665399463224,0.5210087586617242,0.5564627835894572,0.5297538543139994,0.4830828085471832,0.5679410459152154,0.4883209753514608,0.5494618025059238,0.5101772271385244,0.48348704128327535,0.47228193397555074,0.47875914101112105,0.5005541830297393,0.4790592432052938,0.5416858862955887,0.4741990297993367,0.5006278595071756,0.5065486623134942,0.48366749127493497,0.4962189012621897,0.53216080347298,0.6276327158512103,0.5710316951518554,0.5,0.5706878952373596,0.48805479041032407,0.4962189012621897,0.57307941701678,0.4735485863636693,0.5331141067764413,0.5,0.5341875513906114,0.5543231659374604,0.5617022855760637,0.5490790524383872,0.5526888915799542,0.5547601870042709,0.5940327495981853,0.6032496216628331,0.5365663779176858,0.5999312396417449,0.5389144415558391
RpL39,0.5,0.5893143821490758,0.5468864545495437,0.5,0.6071387738311795,0.5,0.5176141244223706,0.5465425762179255,0.6097752211451919,1.0,0.5055488064851235,0.6507045204862104,0.5087000998095937,0.5035254113392142,0.6611845747178687,0.5107936674167165,0.6466795611051116,0.4948376303970653,0.6564244970698228,0.5,0.5662273548305145,0.7113440391486293,0.5,0.5173266249718839,0.5332107637990057,0.5702250275401477,0.5,0.47523870122719075,0.5059003272416236,0.6391136546155083,0.6575858714242406,0.5629533623841523,0.5,0.5950132723261397,0.553653309826269,0.645373282983378,0.6308409045117447,0.6157777961942167,0.5824494148507794,0.6259952521707914,0.47905526439856505,0.5274575954714633,0.5016009495876002,0.5939665350657466,0.5028218965662201,0.5232506824783084,0.5,0.49952603554514,0.5455414529535875,0.5937793725006059,0.5134925667844283,0.5,0.6499663662887953,0.5890061572721397,0.5112470484153268,0.5092837967446453,0.6624935046573642,0.5112470484153268,0.6602846458006568,0.5070830490268818,0.5,0.6518533215385507,0.4652656871441444,0.5,0.6104219475737453,0.4514399354999442,0.5,0.48315319704226833,0.45281018504329146,0.4883303471337052,0.6358903453640389,0.5220550197301771,0.547185724662241,0.5429525527560137,0.6548632956808266,0.5235838127450262,0.48715717821872545,0.5115552783876214,0.5967350210732987,0.5378789349895512,0.5581093102156242,0.5211051721034231,0.508660526659201,0.6388597900955225,0.5,0.5186127373708287,0.5274397010873152,0.5438496771623191,0.6297761215975333,0.6339248588480982,0.4913351100071615,0.5474163861955682,0.5,0.5422482227460872,0.6228798808504794,0.6394109370232977,0.5202139596880913,0.636712148163458,0.5093806582598593,0.5451739450980837,0.49249342782302796,0.49516714398862394,0.6297245610085755,0.5176479453350296,0.5,0.5335395889446791,0.5,0.5291566430555423,0.5362857745585431,0.7012959684937974,0.5353010757132243,0.6450970934457376,0.6285297770859698,0.5615557643009793,0.5,0.5,0.5920286630695878,0.5584297243011731,0.5,0.656597337398112,0.48107882440813027,0.4922946518170959,0.5635582602320075,0.6598457565939592,0.5751780118438541,0.537588319086247,0.6408983200815884,0.530997129893072,0.5018735989837679,0.5114372061153328,0.49869968776912943,0.6597790730622111,0.4966988200388463,0.47554300915939046,0.6577899946596616,0.5218851398611363,0.6228714993627197,0.5237531964112144,0.5971396803004156,0.5042861856099565,0.52550154279665,0.5441758016843387,0.49074915290794074,0.6095385911678849,0.5003558803244035,0.5663166133033215,0.5732103087021764,0.46614678022997535,0.5112470484153268,0.5975948271154825,0.7022581516767666,0.6365502650517421,0.5,0.5300006690076255,0.5086688849863904,0.4854608201009159,0.5936228484223237,0.543382383586414,0.5987283260232338,0.5,0.6243122171403979,0.6260425864797571,0.6517085306648458,0.5906251988035269,0.6466409117818961,0.6529501953497698,0.6506139749392512,0.6738936000314956,0.6314021932530115,0.6230645560235413,0.6752150090012159
