,RpL39,RpS25,RpLP1,Mlc2,RpL41,RpLP2,mt:lrRNA,Nplp2,dpr2,RpL38,Act57B,RpS26,RpS11,RpS15,RpS12,RpL32,Mlp60A,eEF1alpha1,RpL14,RpL23,RpL27A,RpL31,Lcp65Ag1,Lcp65Ag3,CG14265,CG14302,CG12310,RpS8,RpL18A,RpS9,RpS20,RpS27,CG30413,RpS4,CG15282,RpL12,RpS30,MtnA,RpS29,RpL9,Lcp65Ac,CG18649,RpL15,mt:CoII,Lcp65Ag2,mt:ATPase6,CG11131,CG13545,Jon99Fii,CG14300
RpL39,1.0,0.8508576485549014,0.8515309627707442,0.23069002247850776,0.8281409900355052,0.8505332126444409,0.33128553463184107,0.024030932790724796,0.693759312460478,0.8541031891738278,0.22248605710385908,0.8197118513118624,0.7825254823582958,0.8523117210698562,0.8237723370219672,0.6896278714440095,0.19262027411531407,0.8014243013574637,0.8343120659032822,0.829972259847685,0.8586818268623192,0.8441246422072879,0.010571477525094724,0.007012420785664122,0.2977627454729069,0.22823449551562588,0.5446443667738744,0.7615643320308856,0.7887247084259572,0.7317548015880846,0.8547113722454055,0.8066373487682236,0.04584905174748275,0.7158014728018864,0.1515221306028047,0.717612897262644,0.7729201753378505,0.0006253007855913504,0.8037174848774941,0.7858543840406503,0.042841724144390206,0.28101680855021244,0.7688627286019274,0.5126278971513087,-0.014230385380050295,0.5574229269469165,0.04490998398534662,0.02233940817409426,-0.03979812428229466,0.37933395932657016
RpS25,0.8508576485549014,1.0,0.8274540014391046,0.26934104688339305,0.8105778916799277,0.8487250654047244,0.3181116329776512,0.024318257250635432,0.5922465878649497,0.8335418272111486,0.2617218415753281,0.8072171282571915,0.7889772538892514,0.8298076364934355,0.816851753414765,0.7136978112261599,0.2013535112314986,0.7789785720319862,0.8241084617099315,0.8060032404849693,0.8404120911952676,0.8202560329554499,0.034285751739630776,0.005608626645474744,0.25631442388521564,0.18930106280027034,0.44573101865499903,0.7513144932118885,0.7850157981703678,0.750317375778515,0.8240720456851979,0.7954674105583276,0.04386750633129824,0.7442901249690628,0.23300432200863644,0.735867944805011,0.7761677766144806,0.0024836010844190913,0.7825904630433127,0.7852525827676198,0.07333004260297242,0.24430923896783466,0.7434151188458815,0.4829340186484272,-0.007099961240054674,0.5499406218226409,0.057538884118148836,0.04626466141087375,-0.05629310469028221,0.28850813439165607
RpLP1,0.8515309627707442,0.8274540014391046,1.0,0.23639766612059496,0.826663951275146,0.8322686743617957,0.3195520132028126,0.042686345217434245,0.6578181118117584,0.833222738194705,0.2369783384055324,0.8249294459357333,0.7912270100315361,0.8357668793916379,0.8064541140334299,0.7232611615861463,0.1887664920225041,0.817291626257418,0.8140151154977179,0.8211153883720154,0.8361438929780373,0.820923547447541,0.01967906075888372,0.016195685650472868,0.28316889410964463,0.19550275135644668,0.5019589856441916,0.7497234867801619,0.799459219500507,0.7507411867429095,0.8184269051130574,0.8167906598413278,0.030466365742684513,0.7360351787611903,0.23945977058596282,0.7459031929559765,0.7836052244176174,0.02871586469457948,0.8044095339253423,0.7921740554745337,0.07710304406402191,0.2642501497432576,0.768393798476831,0.49547677335208423,-0.012051624793918667,0.5523647039496321,0.05922629705355778,0.035020434564679744,-0.0026442257807549286,0.3417283627485869
Mlc2,0.23069002247850776,0.26934104688339305,0.23639766612059496,1.0,0.32640993595146245,0.24406706066775113,0.047029363629324646,-0.009011408666033211,0.20754456785047481,0.2525391086457011,0.8323977822962951,0.2748561575443282,0.279336054494023,0.23840249108223174,0.24084639157425752,0.26515165867782753,0.31001308070613015,0.23086681423425043,0.24235154466899012,0.28798621261081586,0.25409057916853084,0.2715358908712395,0.07845253107175595,0.021878508788063855,0.05109702817762007,0.00858140229247978,0.2326958910450825,0.21846528139448518,0.24023695316760363,0.25919379632956846,0.2326278524231345,0.2994449638330476,-0.008114101638487383,0.2460837643905137,0.23181698836766637,0.2889139913384777,0.27571482579268675,-0.06422636790397711,0.2750466106620266,0.25503541632499405,0.12301611637670642,0.06216858611563403,0.23776182128418322,0.09874162845743052,-0.011341267677441284,0.15020612774292974,0.020438779914270507,-0.005921041827543744,-0.0690483286053525,-0.00951967051623304
RpL41,0.8281409900355052,0.8105778916799277,0.826663951275146,0.32640993595146245,1.0,0.8317874236594258,0.32354999099186604,0.022585063230758186,0.7229175168335054,0.8535182685126296,0.33288229849450124,0.8422000411332,0.8034243398963544,0.8291298635717944,0.7878393250332962,0.7637123544499784,0.19575682028465655,0.7943320926311708,0.808172342796149,0.8493330008415206,0.8151571930386285,0.8339071094733411,0.03370386760560595,0.024417961344792415,0.2871947075457918,0.20148437799122737,0.6085621983520835,0.7569536599891787,0.7962591492422142,0.7770157570138182,0.779293585213155,0.8473164892664621,0.04930584993349866,0.7472193303727214,0.2098738956274687,0.777165102492865,0.8148497861270781,-0.033847399938445426,0.8162241342266994,0.8152957488195992,0.041768555174345454,0.2649972469148517,0.7642801915843354,0.4435494801492063,-0.0087382671480061,0.5256054143675403,0.0856923636176555,0.02241824810922982,-0.11047217551029705,0.32103600483062605
RpLP2,0.8505332126444409,0.8487250654047244,0.8322686743617957,0.24406706066775113,0.8317874236594258,1.0,0.26018702184903575,0.023136605315323154,0.5822294463674622,0.8471828716281253,0.2613176922562609,0.8143694480492057,0.8068344877751139,0.833584184504898,0.8426682041346556,0.7132675874537477,0.1840798470539198,0.7905436902478182,0.8406860987520361,0.8178275368231964,0.8498656975893047,0.8329675933108542,0.023228847890157563,0.004844785443857015,0.2558257245591526,0.18473457842748955,0.45178390153654785,0.7669898053373735,0.7867711200911619,0.774764803421859,0.84201534137879,0.8087417898211545,0.01774128201858744,0.769177441708806,0.25076323684040563,0.7453057927831293,0.7886788630296413,-0.07106122919715224,0.7822510437742479,0.7916253337131978,0.057223469982150874,0.2351176218219506,0.7442480611035104,0.4260192469031887,-0.001408786239698282,0.49892252831634487,0.08249288452450068,0.02869810760610037,-0.1164431953104877,0.2962501021052323
mt:lrRNA,0.33128553463184107,0.3181116329776512,0.3195520132028126,0.047029363629324646,0.32354999099186604,0.26018702184903575,1.0,0.012947446631810917,0.2678529076318406,0.37680806385652166,0.06629430861768187,0.326347913166135,0.3115016966491017,0.35029460640747234,0.27543802356838265,0.34853652794165224,0.11235173138753485,0.3784517860164671,0.31128517589100796,0.3269905296115665,0.29885517071169115,0.28459146999575374,0.011349940183426657,0.015545688116350972,0.13241222711983974,0.15601554015773592,0.0405727900907803,0.3372135409483344,0.3137803908320588,0.2710150461597246,0.2565583876861747,0.30913051058762264,0.09597146141403312,0.27173323057178433,-0.08835911097028366,0.33154700402196396,0.3667553045249479,0.2595132813990654,0.2925517456007878,0.36328436468442554,-0.05595200739186322,0.1378239474299017,0.39997210504288633,0.6883094822108075,-0.007278097840525159,0.6711070827957929,0.03711127062559183,0.0023833206209535936,0.25609265913041274,0.0800750951934086
Nplp2,0.024030932790724796,0.024318257250635432,0.042686345217434245,-0.009011408666033211,0.022585063230758186,0.023136605315323154,0.012947446631810917,1.0,0.007812929182528069,0.029203313799974828,-0.011775315198600256,0.02152772205981613,0.01032690688316953,0.02282143458913637,0.03148938627523694,0.036017729939478785,-0.003282199385058735,0.05066443949594404,0.033754635101857326,0.016150860030048862,0.039444256440605084,0.01248672813035064,-0.00811466179222855,-0.00939442962115735,0.028839948634527456,0.010515446466374284,-0.007569203961235367,0.03368634969950307,0.03047443397045832,0.01821507700209237,0.023192794471930425,0.02743917502381751,0.027485408804034536,0.01568356632181169,-0.012702440309578164,0.029161291481099444,-0.0014470076807484593,0.01599573399305792,0.029634551010427987,0.01876917022389126,0.010460251559400372,-0.028927504144982186,0.024758190737293483,0.028126970593525966,0.049761125641008694,0.028694297168960783,0.010395843667178165,0.025208497819652606,-0.01467918010017781,0.011754722769504245
dpr2,0.693759312460478,0.5922465878649497,0.6578181118117584,0.20754456785047481,0.7229175168335054,0.5822294463674622,0.2678529076318406,0.007812929182528069,1.0,0.651839580435704,0.16454425276935475,0.6902549527723858,0.534111923252071,0.6574840015809422,0.5520649988723562,0.5056953721369183,0.10811448046299198,0.6645496068439163,0.5694076351216851,0.672261457050099,0.6016074618984335,0.6486979506032825,0.013449564078437693,0.02549314800596665,0.3804427017162005,0.20666244706909234,0.913921966973831,0.5449300952936645,0.6067162878493825,0.511606509103004,0.566282665126102,0.6595522840549135,0.07980926301119395,0.4784911663639968,0.11715517591312197,0.5495104077351813,0.5899720901678571,-0.019121122960488495,0.6540231311287849,0.6283116020075732,0.012570891389114679,0.36718136594079515,0.5634648801787778,0.30627780870918403,7.21310791721877e-05,0.33227126356412096,0.012718541290572268,0.010541515568417556,-0.008841298891271367,0.36415659348810975
RpL38,0.8541031891738278,0.8335418272111486,0.833222738194705,0.2525391086457011,0.8535182685126296,0.8471828716281253,0.37680806385652166,0.029203313799974828,0.651839580435704,1.0,0.2585457856471453,0.8133050289367666,0.7941572471217115,0.8403828751345185,0.8108211386098387,0.7323983763069762,0.19275631750896094,0.7959223756922875,0.8199665433222125,0.8298304967695704,0.8400008952782778,0.8349971908844412,0.02393942907975598,0.012551011407708649,0.29205390746190607,0.2082805358610466,0.5043468919955775,0.769536113048799,0.7922706803807469,0.751188689691059,0.814315451137006,0.8201458057079486,0.040294835252835254,0.749076787703455,0.1800002988222485,0.7512212280289863,0.7957294664136667,0.020717072147340507,0.7980078391686926,0.806484851189144,0.026084030519318686,0.2795882729314674,0.7678190025001972,0.5185353933830138,-0.01260176690781403,0.574530595165167,0.07595632414676301,0.014031983829083187,-0.04724120214481158,0.3060191230186658
