,CR30029,pre-rRNA:CR45856,His4r,CG42815,RpS3A,Jon44E,Lcp65Ag1,CG7630,ATPsynG,RpL39,Phk-3,RpS25,CG32453,CG13731,RpS21,CG10953,sta,CG14302,RpL9,CG4362,Osi14,Mlp60A,CG8997,CG42305,Cpr65Ea,RpL35,epsilonTry,CG30413,Osi7,mt:CoII,Tm1,ATPsyndelta,CG13069,Mp20,CG18649,RpL31,RpS17,RpL14,RpL23A,RpL37a,Lcp3,Cpr51A,CG17633,RpL18,CG9747,Tpc2,Cpr65Av,betaTry,MtnA,RpS9,Acbp2,CG13060,CG13159,RpL11,CG13063,CG11911,eEF1alpha1,Jon65Aiv,mt:ATPase6,Jon65Aiii,yip7,wupA,Jon25Biii,Lcp2,RpS12,Lcp4,CG34282,CG15213,CG32266,Cpr47Eg,RpS27A,CG9083,CG31626,Gasp,RpS20,Lcp65Ac,CG8664,Osi6,RpL38,CG4115,Vha16-1,obst-A,CG13738,RpL19,Jon99Fii,Cpr78E,Ipod,CG15282,RpS23,RpS16,CG17290,ox,CG13679,CG15022,RpS11,mt:CoI,CG12310,RpL24,CG7299,TwdlM,CG14300,Jon25Bi,RpL8,Cpr67Fa2,Obp56d,TwdlB,CG11131,TwdlF,fax,Mlc2,Vajk4,RpL23,Osi20,Neb-cGP,Jon25Bii,Lsp1beta,Nplp2,CG13315,Lcp1,Mhc,alphaTry,CG15212,Hsc70-4,RpL32,CG9568,RNASEK,RpLP1,CG32073,TwdlD,TwdlW,Lcp65Ag3,up,Lsp1gamma,CG7953,RpL28,EAChm,RpL30,Obp83g,lncRNA:CR40469,Lcp65Ag2,CG17127,CG10472,Cpr64Ad,Osi15,TwdlL,lncRNA:CR34335,sesB,asRNA:CR45663,Ag5r2,RpS3,Act57B,RpS2,CG12057,CG13059,CG13043,CG30457,ATPsynC,CG14454,RpS8,Jon65Ai,RpS14a,RpL21,RpS18,RpL27,RpLP2,Tm2,TpnC47D,Mlc1,RpS4,RpS29,nur
CR30029,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
pre-rRNA:CR45856,0.5,1.0,0.5501963581907875,0.5,0.4999098496261864,0.5,0.5480788660786665,0.4770937697910185,0.5250376563520005,0.5398623033034657,0.5170168838289106,0.5312738435142084,0.4998917949650586,0.49729532288811623,0.5102849102429629,0.5496791251025823,0.4866278709631136,0.49379987123882846,0.4950802614214309,0.5,0.48379599627468134,0.5003798403396277,0.5,0.49698619599460386,0.5637067161418104,0.5132811494915017,0.5,0.4604470240945112,0.4686130556281676,0.49010086866528574,0.4912940703339421,0.5425577338880434,0.5155911674108292,0.5221484333065053,0.4871976463484408,0.5175047647706983,0.490422545217899,0.49284666911215497,0.4900677865057532,0.4926279667712429,0.48922220739610794,0.563507740452759,0.49346318347156587,0.4833280737946153,0.5495719792420577,0.48246625468269233,0.4872438638695322,0.495382388010861,0.4683911876459118,0.4766628183656247,0.5019170362933061,0.5029863108185505,0.5434956617929473,0.5074019492183235,0.5044080342081199,0.5,0.4951177594810031,0.5278508167920132,0.4890093617186453,0.48407843281807444,0.5478610931438149,0.4983991443056446,0.5244354254813581,0.5,0.5126279972949161,0.4812403093311214,0.5,0.5493908958521625,0.5038875674891926,0.5489942373445125,0.5292684186297091,0.48140610509721976,0.5383951809272031,0.49422916704542325,0.5477762221193923,0.5139049914892838,0.5,0.48666891981818555,0.5113907204222711,0.49353011944048014,0.5208829326149665,0.531643361879829,0.5149802809255369,0.48215420101958767,0.5,0.5746345179888226,0.48466912308774457,0.5043042119943304,0.4637368595073788,0.5238658855995062,0.5560646067794794,0.5073693155661663,0.5033942986927089,0.5984178394584749,0.5229878261329671,0.491713259085626,0.49346318347156587,0.520574951735032,0.5919674387836851,0.5534588999485015,0.5,0.495382388010861,0.526062616006323,0.47732703754079636,0.5134029339132188,0.5531095733177729,0.5,0.5068543691756002,0.4779828780218399,0.49513120272261646,0.5509453699165986,0.5397741066768685,0.4883902271658082,0.480736009062368,0.495382388010861,0.5,0.5034428573945138,0.5012877999767062,0.5,0.5118764533294081,0.49257281713818896,0.5584341011590794,0.5137203506708975,0.5151077563260169,0.5021792706601456,0.52869550715962,0.5227070760595356,0.4841392270345033,0.5608902809942227,0.5599643863036421,0.564626054759208,0.4902009878546694,0.5,0.5,0.5326883427245495,0.49526692390164095,0.4888304415203179,0.53565616220338,0.526855553986969,0.5748184903558221,0.5385946548467896,0.49258370766416676,0.4942823173198007,0.5030155463303884,0.5598548945168819,0.5189914148085951,0.5094289847109881,0.5241639075590704,0.495382388010861,0.4963798697526045,0.5129270427937171,0.5224333697382393,0.5,0.5229423937231106,0.47411930301957406,0.5499919075316027,0.4832643799600672,0.5188129231439413,0.5083686688830156,0.5,0.5206991271349686,0.4844255395240644,0.4932003413101903,0.5023045154182892,0.4996522412504935,0.5210809295335713,0.4897749909140064,0.47760606694523394,0.4938516300030177,0.5329010398011289,0.4661748505305778
His4r,0.5,0.5501963581907875,1.0,0.5,0.5229960210898668,0.5,0.6314536321879003,0.5290619568801721,0.5022505580081632,0.5634940365759932,0.5274972238919436,0.5614555905391456,0.5018372001734691,0.5512455923493267,0.5617640200567143,0.5918753089427857,0.5535819583510481,0.4822471094789586,0.520893628295888,0.5,0.479685633025177,0.5247974759978474,0.5,0.5157883015084821,0.6201454971188741,0.5693855624344233,0.5,0.4821289822898493,0.46531644143020484,0.519478650230712,0.5246418508872921,0.5973192596663639,0.5161330923070676,0.5277545001635228,0.503879935701689,0.5634060351287616,0.5435857471078034,0.5707069962200668,0.5163829669883481,0.5672357846319365,0.4860549233212448,0.6100277601066404,0.5054653090991981,0.5255555764001213,0.5107963340531658,0.45982402108295195,0.48412582165651635,0.48056658087455467,0.45995306283776294,0.5465907530278317,0.5047429380801649,0.5263799184452241,0.5167526404248608,0.5721226274381306,0.49785628243567676,0.5,0.5741162919751839,0.4984877995124195,0.548819030477109,0.5253594708633221,0.4878342074047037,0.5178936620053445,0.49078956184485895,0.5,0.5338835301458392,0.5016106128731525,0.5,0.5701933863986655,0.5293542915808535,0.5668711915714025,0.5900177251177583,0.4697324945498707,0.5506128943882127,0.526225906380244,0.5698558264690529,0.5500438466962712,0.5,0.5271520426374581,0.5769830314120813,0.4884175080790638,0.4951303708917189,0.5078743992968402,0.5239334141991276,0.5412760142504718,0.5,0.4886844883189435,0.5377380449767901,0.4953752236451281,0.5155785217814045,0.559021914150297,0.5852274002108669,0.533481367654118,0.5331888019234149,0.6038323499065539,0.5895426337536032,0.5895018827867687,0.5054653090991981,0.5524145248562163,0.5085195218515562,0.5951664819106476,0.5,0.4992018748592224,0.5126315022970703,0.5407872599239043,0.5004058171364728,0.5922417882777513,0.5,0.4746333476495635,0.5083211139793139,0.5222757080846188,0.5783254592641248,0.545405772335417,0.5324863404225502,0.5169018821762381,0.48056658087455467,0.5,0.5031327331521285,0.49401485297044506,0.5,0.5477129777548785,0.5137031969848341,0.6128440358048574,0.4995696263121767,0.5493035391356473,0.49714326095410694,0.5256779439295176,0.573256334483065,0.514414214285413,0.6035313514409084,0.5611745770124665,0.6135669995801553,0.4989920188017517,0.5,0.5,0.5814350413186914,0.4798201732964801,0.5936621670383665,0.5515698502103145,0.5122019911374128,0.6206654344831829,0.5259293000946239,0.49372981949145284,0.5791979624478587,0.5134917040071703,0.6078407884185282,0.500451382860979,0.5099344841212284,0.526496884149421,0.4992018748592224,0.5328493928113381,0.5106649552764503,0.5457159319922333,0.5,0.49031221593270236,0.5194821550089678,0.5848080633953109,0.4950067249795031,0.4671056010583565,0.5373835142672976,0.5,0.5642461240640175,0.5638654182737646,0.5523869431495723,0.5492486663335127,0.5716912621213717,0.4833122479110593,0.5031321370603183,0.5169251883911719,0.5255811793756794,0.5463826079696387,0.49304300365085607
CG42815,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
RpS3A,0.5,0.4999098496261864,0.5229960210898668,0.5,1.0,0.5,0.606689463966491,0.5459618398152406,0.5310010596964981,0.5957874980416938,0.6052006914895547,0.6395561331797226,0.5709371900329829,0.5922322484377275,0.5979008053547004,0.5994162153069156,0.6041164619229257,0.5342659883480821,0.5308725548730683,0.5,0.5038042253412438,0.5827842830876853,0.5,0.5582266124858123,0.6080238812976276,0.5946922813923813,0.5,0.4953498848137325,0.5331891111043847,0.5762521155041207,0.5398472276276857,0.568198936182486,0.5357912557629906,0.5646759044980609,0.5299805006323329,0.59850635235942,0.5597859978211279,0.5971741390814508,0.5580449988868544,0.5914736729520544,0.49361296460215065,0.6335829177762893,0.47920290968554596,0.5744088880964704,0.5298192401152789,0.5196507821544225,0.4925897566142084,0.5016106931045385,0.5150299209721595,0.5445982286435096,0.5231174763278875,0.5110667926861691,0.5209334560855936,0.5519968283499366,0.540707756617393,0.5,0.5683716335808964,0.5104646028965675,0.5879591277055222,0.5477101776709747,0.4839340364274879,0.5559438495971306,0.49932826610002934,0.5,0.5910157091477216,0.4698634203084867,0.5,0.5520809656630509,0.5219978962725209,0.5754638625395178,0.5783063025296651,0.5339741905572231,0.6135541416185278,0.5068584346169989,0.622381148736018,0.5622386375188108,0.5,0.528756734886854,0.5825768517397667,0.5392069480303454,0.5380290041170556,0.4993909735180076,0.5290089874642127,0.5717201095045576,0.5,0.4804664370565659,0.5039043539782583,0.5316847836886512,0.5674371721416729,0.5918400737022349,0.628583658867826,0.5522408957344991,0.5634286358978756,0.5436595242138003,0.6031607424191381,0.5849716480387444,0.5161264794038692,0.5974200223472428,0.47552785637942985,0.6153864671340616,0.5,0.5016106931045385,0.5837482657175735,0.5545584168534988,0.5068455162769219,0.5815895780601346,0.5,0.5394357946042784,0.49657218687700044,0.576718807415415,0.5472113448150773,0.5789994337861393,0.550425581068478,0.5579447437370234,0.49508998392326137,0.5,0.5524012744771571,0.5403671930108309,0.5,0.5585358335382586,0.579004839512532,0.5931513342376881,0.5307803390982114,0.6204719351839514,0.5142649500062362,0.5472345008359498,0.6226460500003181,0.5138458265719088,0.5982425175358113,0.5902427691207948,0.625959983074943,0.5456718218541412,0.5,0.5,0.5677201863919775,0.4785616141683156,0.5858974565803525,0.5219653994172234,0.5146202360778751,0.6198078541979866,0.5189927462565342,0.5008414428673286,0.5553060027738084,0.5321185932181367,0.5974412940402642,0.4970550915094077,0.533953330402756,0.5362378426651436,0.4885692747419842,0.5685177047625739,0.5872599651874558,0.5409475617449097,0.5,0.5110322806901102,0.5015068971341157,0.5542061745830222,0.4958472702718319,0.5428744824871526,0.5969406345016572,0.5,0.602828311897726,0.5542994362688366,0.5811718450573168,0.5928603968996132,0.5982946991905799,0.520861774609382,0.5321041564708526,0.5464719930823457,0.5472010793251632,0.6001102226908043,0.5065244021111125
Jon44E,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Lcp65Ag1,0.5,0.5480788660786665,0.6314536321879003,0.5,0.606689463966491,0.5,1.0,0.6103022454823448,0.5999703876941301,0.7465202998384308,0.7008080516012654,0.6769038940592507,0.5559803204795469,0.7409241752184242,0.7067567107884699,0.8101571881084595,0.6182745067806761,0.5079496763228092,0.6184353679557832,0.5,0.47954259111011804,0.6280841100959478,0.5,0.6858570211258824,0.899653158814521,0.6812465253371205,0.5,0.4484218141884533,0.5454088178876378,0.6638484096668653,0.5914386069320525,0.744988820896989,0.5143767019912674,0.5459635780918535,0.5001272362125172,0.702745079463144,0.6806912217527517,0.7200100305667673,0.6417878975269029,0.6979040902673734,0.4984990112223311,0.8406906496190178,0.47879952985880186,0.6571736722178487,0.5375087376481016,0.49376305284912436,0.5323939601577781,0.4922574225213749,0.48813174900897205,0.599554573287936,0.5274859984091514,0.4347287610619037,0.5616346358628084,0.6172623105237018,0.5069922039627194,0.5,0.6160156944110721,0.48121866266691066,0.6775867621271965,0.5000631391529897,0.46842936841832866,0.5600437690066725,0.5146894601248531,0.5,0.6423772151426558,0.5226718504151134,0.5,0.7437378076281784,0.5802644082971229,0.758772282926797,0.7023118104425083,0.5240760770007346,0.853262418557299,0.5768956396201247,0.7007209190282453,0.6677725410002694,0.5,0.515389329488987,0.7370468143501966,0.521657342283035,0.5662656056872627,0.6186619376941204,0.49884526716490357,0.6604504772793278,0.5,0.48882914723920046,0.5353116034255739,0.5382269483485592,0.6399334408378565,0.6634113762678686,0.8922265875956243,0.5867882332433914,0.5343862212575491,0.7329833101040013,0.6917899119996287,0.6482285066000811,0.47538624056730683,0.7206532272244139,0.501902022755295,0.8819449679508333,0.5,0.4934629975506149,0.6530552777803408,0.6111418824941304,0.5306509868427683,0.7956366638874974,0.5,0.5118639500183407,0.507495170306548,0.6051174835231367,0.6623881194802396,0.6922205838257057,0.5092031914029425,0.5851124715556796,0.4802016722289747,0.5,0.49258022476579255,0.5365286058500285,0.5,0.5820294224055151,0.5061064644388966,0.8253163967630763,0.544484043984823,0.7016062203156419,0.4707878108839978,0.5610974506137049,0.7161341191101256,0.546972806446229,0.8603519459275153,0.7256406178054357,0.9197159675551618,0.5696413124377137,0.5,0.5,0.6948345805213714,0.49399603586046387,0.7080577266108863,0.6380370010275929,0.5671273724602679,0.9057718132999757,0.6308360392843215,0.48336950757899694,0.5460344058513231,0.49668602361297576,0.8164913089228706,0.5395102593660431,0.5547931736852753,0.45720686741760247,0.5055187478430151,0.6085099465796057,0.5998975111259197,0.64062235501608,0.5,0.4144612875363033,0.4768074351384893,0.7095911744738147,0.5539088814657354,0.5323987660959122,0.6933175316546646,0.5,0.6731190338950621,0.6903363330265595,0.6472726297602174,0.6771442834572834,0.6995338336950346,0.517118325285612,0.5682025572923087,0.5839913383855622,0.6227337419529552,0.7041336330831891,0.5400484070876902
CG7630,0.5,0.4770937697910185,0.5290619568801721,0.5,0.5459618398152406,0.5,0.6103022454823448,1.0,0.548354091750947,0.5869933449644312,0.5401079512868675,0.5740017456846771,0.48316865612959575,0.6007749773909297,0.5538072464426336,0.5928333194370763,0.5454206306509981,0.5334348190611989,0.5703372414124158,0.5,0.4950867988498793,0.5586564259496065,0.5,0.5035276314311609,0.6010512933614433,0.5722246819321224,0.5,0.503958057526933,0.52292520569337,0.5810686165707477,0.5518119245030229,0.5275166858451418,0.5282613119640005,0.5491957485327414,0.5203166021347428,0.5962273243612934,0.5712876317742787,0.555106044970627,0.5339180860564856,0.5464407498317481,0.5109766277750332,0.5714443626252632,0.489837982141477,0.5689708504930644,0.48332336400171644,0.4946078851858887,0.5453954796386863,0.48212841153864205,0.491515999031133,0.5648051492320854,0.5399164457728707,0.4776994718795196,0.5062196655098135,0.5757493818603482,0.5126370747093015,0.5,0.5237720107767972,0.5066592224259298,0.5995945512588892,0.5236405086938661,0.49372769830688457,0.5333470805488646,0.49309096378773243,0.5,0.511227776543463,0.5187344786771213,0.5,0.5601597984306926,0.5393998869101704,0.5846884983945854,0.5302619386631379,0.4910989064169312,0.5786580046997609,0.532022749332998,0.5397222463353766,0.5545992664941785,0.5,0.5243951154061435,0.5744191059579177,0.48903594406621853,0.4826306838186998,0.5254338713645909,0.49455607520874056,0.5751889400804278,0.5,0.5060061035900929,0.48780370434827636,0.5201703483790411,0.5408898955031012,0.5555505216227375,0.5967564334770196,0.5215905317511609,0.5349099384072203,0.5106419335428102,0.5582003259626838,0.5970409689385194,0.5201129552274031,0.5382646240485212,0.5035146747272039,0.5716051770212673,0.5,0.5569803326986085,0.572176872942722,0.5163827105828422,0.5237035601182577,0.5652691918421142,0.5,0.4883267711634308,0.5388463443083593,0.5711731054512651,0.5253010566516276,0.5602496826099159,0.5050490508776645,0.51048865093932,0.5355940695100466,0.5,0.4971830045272479,0.4865939886058227,0.5,0.544817275642461,0.5425088794277502,0.5799736221042477,0.5232714236478759,0.5612601441961887,0.497005393900299,0.49286057414775075,0.5569370931380053,0.5156129218615662,0.5829168356724774,0.5423220005746979,0.5840242241039868,0.530319659425463,0.5,0.5,0.5610721093361972,0.5116734844147378,0.5775771376961061,0.5088514920953031,0.517909907926202,0.5864452554438752,0.5234361784065171,0.5142319342424705,0.5415474388825328,0.514795154165276,0.5648974030976601,0.4865891243638518,0.5296543705329656,0.5160885478539788,0.492821543132923,0.5771662755360318,0.5536020777207347,0.564415633854338,0.5,0.470512243456703,0.48954459169984677,0.5392064647490485,0.5250754891245215,0.5154188888644373,0.5914364299737632,0.5,0.5670808818352617,0.541913133117981,0.5428406340102171,0.5602673211039737,0.6089466292359629,0.5293174191976008,0.5557330963416205,0.5669494769007574,0.5140567803450838,0.6099027644160654,0.5397077602151665
ATPsynG,0.5,0.5250376563520005,0.5022505580081632,0.5,0.5310010596964981,0.5,0.5999703876941301,0.548354091750947,1.0,0.5775393686934435,0.5205258297837776,0.6054255345788024,0.5137083607279272,0.559469620439086,0.5468783969375475,0.5869726546040069,0.5714418713682567,0.5173419112581471,0.5210791768777465,0.5,0.5002870815097585,0.5608068363550784,0.5,0.5552250827877734,0.6099654369313067,0.5800702111336149,0.5,0.481696546267691,0.5484174894388516,0.5883416015998979,0.5410730642552515,0.5462052199135422,0.5304034195147137,0.5583925838441824,0.5018917695571987,0.5543950640369166,0.5441553584039722,0.6136028465417623,0.5467406941036993,0.5921778707289203,0.5164083068790828,0.5789144832230865,0.4807902330050797,0.5999689668146853,0.5321065070405222,0.4615684614073825,0.4786008667110365,0.4917272798619501,0.4902505440827812,0.49816924022638903,0.4866322183923891,0.48866241846813807,0.503645258440418,0.5076070589706777,0.5173363426601474,0.5,0.521862625329888,0.49636933234092273,0.5696536415880346,0.5399669224559855,0.49790009970162047,0.5633959339196757,0.5182642467892785,0.5,0.5456564959756551,0.4873592238925741,0.5,0.5712196842275763,0.5332285413039051,0.5715634673367205,0.5753362090282604,0.4728930203558112,0.5744890173204135,0.5232979017532141,0.5442946066046565,0.5016496520874086,0.5,0.5042800565220185,0.5498050278319455,0.512179127550128,0.5052772051681533,0.5249489270639837,0.49115711760093195,0.5098759028973513,0.5,0.488126035966772,0.4764420096449311,0.4900443719206531,0.5237886744961827,0.5577759944965904,0.5888548945536706,0.543427998032266,0.5257834829296145,0.5064420335404508,0.5188885454790769,0.5995283070977624,0.5032862742915105,0.5838785834682341,0.4811331331545494,0.5669716901527001,0.5,0.5341038666915527,0.5342274125748359,0.5558419597486418,0.5276887931341825,0.5930941996257494,0.5,0.5096725943040036,0.45313400396424613,0.594450139517107,0.5383289166284668,0.5623032454965436,0.498037067250766,0.5412171558429681,0.4811331331545495,0.5,0.483466261265895,0.5417016777707111,0.5,0.5258834407220614,0.4866937704219405,0.5610627556167888,0.502880209693243,0.5567932309724521,0.49655152297519345,0.47721613423669396,0.581682612709413,0.5027940076054729,0.5758380258388447,0.5704747976912482,0.5971528117184745,0.5367639733857862,0.5,0.5,0.5275764548785824,0.4848075488381611,0.5351529460605697,0.513152773107755,0.47769675703551656,0.5964912563608188,0.5475800671773943,0.47253400268790935,0.5435634633980986,0.4806414305056427,0.5530592335238296,0.5003393994560531,0.5500826799142008,0.50704600168989,0.4811331331545495,0.5297847974661173,0.5804232895820021,0.5696821230366947,0.5,0.48216637488042696,0.5023122828531436,0.5314122612172529,0.5427438540417899,0.518691462259565,0.5639533738038672,0.5,0.5612823261924016,0.543625073069293,0.5294190759635182,0.5683269119172829,0.5807352082761593,0.5561713987226186,0.5739954744146089,0.606054577365732,0.540810962436219,0.5933351755711787,0.553920479442032
RpL39,0.5,0.5398623033034657,0.5634940365759932,0.5,0.5957874980416938,0.5,0.7465202998384308,0.5869933449644312,0.5775393686934435,1.0,0.6380771229272804,0.6774172094900409,0.5472066172818599,0.6584942463856699,0.6533893421564196,0.6787521824918786,0.5988427051967824,0.51672051902507,0.6261256479915275,0.5,0.5038364338068966,0.6565721653805434,0.5,0.573063664376059,0.7174639593717802,0.6976761106943682,0.5,0.4708993315489099,0.5666316345554039,0.6584706798076333,0.6059441512535736,0.6234911790285903,0.5829481532381366,0.5841790234917699,0.5297130719187997,0.7003233361301415,0.6766358817329823,0.6675292917207899,0.6396782840273029,0.6622217261016833,0.4940352695643954,0.6755811503585554,0.4727218524677785,0.6198194228898053,0.5100469162889133,0.4861568131864529,0.5161140788562554,0.517569250626858,0.5390097011846405,0.5998644093087092,0.540814166888403,0.5497807198840047,0.5225155125899686,0.5787336512730243,0.5454925360340381,0.5,0.6328918245511415,0.48326663303328077,0.6491264436764543,0.5248546524461181,0.5056285399706437,0.620722862980282,0.47906039076839996,0.5,0.6653252038457276,0.5438755782197991,0.5,0.6658969118785445,0.5994708393364465,0.6838408627722452,0.6610577426643005,0.4941935717972384,0.6777509933832966,0.5377699290942556,0.6922212641100702,0.5791141433107853,0.5,0.5286057478951002,0.677632875173942,0.5226200540967245,0.515780529562306,0.5645394372628872,0.502035392200328,0.6596123516014608,0.5,0.5674012845020011,0.5021041012737011,0.5194526168882028,0.6225258260660068,0.6542320854165217,0.7475793560142181,0.5861959873866769,0.5758146366631021,0.6311907462305789,0.676472896127583,0.6621568236467852,0.5031424841492214,0.671998468912227,0.4653812990606881,0.7205312852037523,0.5,0.5144993711229656,0.6430938183690718,0.5583986970601506,0.5181091222630367,0.6696285557034594,0.5,0.5199970918866604,0.4790247877699247,0.6608126677016072,0.5998522759709363,0.6648500058065545,0.5248346093891539,0.5800368713961053,0.5022198531073963,0.5,0.5303503483997205,0.535862616061493,0.5,0.6041147662719013,0.49863277782997095,0.6924112781729077,0.530557578121174,0.6676138088740142,0.5220908870696271,0.5525520584245329,0.669701391025886,0.5227197096938508,0.7026270664342628,0.6176358416227018,0.7435407379967272,0.5888139793699381,0.5,0.5,0.6788799767634159,0.5085400396829058,0.673079385023529,0.5624460762289863,0.5634746789117365,0.7465819460937275,0.5743966461512355,0.4969912834683489,0.5382206276627904,0.5168572585438375,0.6792034062636202,0.5401410037320346,0.5433479735631782,0.5561896650871762,0.4991499736035039,0.5562009637388862,0.6101844211371684,0.6544553382047734,0.5,0.5287918503890696,0.5567326679247363,0.6218036416607661,0.5785885939252485,0.5320121983008204,0.680603328327421,0.5,0.6736020722552717,0.6581186018261629,0.607145922453221,0.6683277695443361,0.6939339603317289,0.5378126033649995,0.5787788085996414,0.6338897889135704,0.6071884629604014,0.6665211921785344,0.5202446126863614
