,RpL39,RpS25,RpLP1,Mlc2,RpL41,RpLP2,mt:lrRNA,Nplp2,dpr2,RpL38,Act57B,RpS26,RpS11,RpS15,RpS12,RpL32,Mlp60A,eEF1alpha1,RpL14,RpL23,RpL27A,RpL31,Lcp65Ag1,Lcp65Ag3,CG14265,CG14302,CG12310,RpS8,RpL18A,RpS9,RpS20,RpS27,CG30413,RpS4,CG15282,RpL12,RpS30,MtnA,RpS29,RpL9,Lcp65Ac,CG18649,RpL15,mt:CoII,Lcp65Ag2,mt:ATPase6,CG11131,CG13545,Jon99Fii,CG14300
RpL39,1.0,0.3361700742945041,0.27979472938207756,0.1367101420162048,0.4561661174400197,0.30368331325795445,0.4202100206427343,0.2323782372113334,0.3781890077154894,0.33457992170932976,0.1768787970454555,0.27900379990116436,0.2957696492807235,0.34690075235945833,0.35448652105460954,0.2953390361094561,0.19347163706678133,0.2007961425116078,0.2831534971612013,0.2780148747356688,0.33134080764993984,0.32803685448158854,0.003599869741999235,0.03026038690947327,0.014035399825514784,-0.012544007239608086,0.043650024819818584,0.257417925355321,0.2943391178050327,0.3071666199578581,0.3230504574194887,0.29956594479948545,0.08363692855579657,0.26595668168715997,0.004035143985779563,0.26475316303127844,0.31022412291963475,0.22472120304383972,0.2677616551790293,0.29533098318725576,0.017145116878761118,0.02128801692836035,0.2506587887317853,0.27224343882911356,0.04784032261883778,0.3539568392740839,0.011125193822070839,0.07223951989439288,0.04283210432468323,-0.0004315875038633984
RpS25,0.3361700742945041,1.0,0.23844264480378508,0.07350257413078087,0.32353767620017154,0.25943930501940443,0.28608573952596883,0.18678147555908786,0.27838088326483823,0.2188833538356495,0.14388428699727343,0.23005640895861634,0.19040992506184137,0.24307123660263869,0.2295734509279464,0.20351542853944776,0.14352449129722555,0.08206524452725306,0.20481793263453368,0.20603107171329724,0.20342917023533422,0.23449608294081797,0.012704520487597706,0.034844310599949496,-0.012990366090785885,-0.0015368563255624655,0.03402740716963007,0.15417981889847948,0.26556533647345,0.2430889830610128,0.24296231961311443,0.23079524049676545,0.0970012799958185,0.16170461396193314,0.016563757813569276,0.2170101890991296,0.2374145698651217,0.1816294756628877,0.1993493887029843,0.2519005764734874,-0.028096308147290774,0.03636937468781148,0.17135446803009272,0.22498287764066602,0.037629098186320625,0.2751736732306141,-0.003372498888954053,0.0014364347119619218,-0.036415997775186844,0.01384377035595911
RpLP1,0.27979472938207756,0.23844264480378508,1.0,0.08282000242454399,0.35181479266724963,0.24890762868600447,0.25038167631370806,0.1451921141499566,0.3022825711432786,0.26855387948496356,0.09968783945434946,0.2487653479453689,0.19523501799758913,0.28170476099670994,0.20610798514891362,0.24774577495675265,0.1222119445853011,0.07794587550952457,0.14494378552562756,0.21146587712516657,0.19135097566907625,0.24624722139955021,0.0008443106832527339,0.040593028873982924,0.019654573263349785,0.0002500275253208147,0.06511118065442009,0.19616545030725338,0.22562206795520326,0.22824953038088708,0.2486448622731172,0.2427288563566483,0.04667011847839054,0.1448306167109097,0.0014385906442657707,0.2018101093871911,0.223041405990419,0.1813409518754588,0.15285841101812198,0.19537075159493042,-0.017558821074674026,-0.013299967043199783,0.20289796304393198,0.215602609657651,0.038234841721807716,0.24145787526139265,-0.009745468334093817,-0.044045516864444884,-0.022558642489635333,0.02315336803019719
Mlc2,0.1367101420162048,0.07350257413078087,0.08282000242454399,1.0,0.15621547591733234,0.09842401921161538,0.13275664593194536,-0.005023367101620003,0.11496491599698677,0.08361299626385792,0.5033627132369344,0.07686805237177534,0.08176015554877238,0.089778629653422,0.14829214750475925,0.10813462364905563,0.5289265544421974,0.0525329184377002,0.10258909097963083,0.09563323898475627,0.0511703799516024,0.0872812546474457,0.024320830042258535,0.0451896870191971,-0.01910080926148568,-0.04786338176923035,0.06179309381910187,0.08389859699997931,0.09200673836268622,0.12336687514984605,0.04276609162673693,0.08534655525415649,-0.10190405671998018,0.1075832411378784,0.06439271243301709,0.11135942160873372,0.08044097722161161,-0.024643842565675606,0.09370961246723676,0.09935456821484011,-0.06404777608377184,-0.02311185709348515,0.06925832387129215,0.1080611043161399,0.05039369603017651,0.1387011845325234,-0.01910080926148568,0.0318776728953221,0.052586922597530644,-0.012654062415115791
RpL41,0.4561661174400197,0.32353767620017154,0.35181479266724963,0.15621547591733234,1.0,0.38094486827292556,0.43419996868187055,0.23989302098421694,0.4223500384791172,0.335991607947789,0.1528590647847177,0.34537864921439354,0.3131671545702557,0.31843916753786783,0.3433869429413819,0.3349222600577483,0.1982884173883113,0.19883083365123475,0.3407561618915946,0.3343525456292704,0.3746245133578835,0.38442785937171264,0.04650866309646142,0.029384348703056107,0.014836387358573077,-0.03954108441124987,0.06864143554253772,0.3002669863486885,0.3343293565063611,0.35924048278546145,0.3327287893074045,0.3341023498928454,0.019484161320269852,0.29620399268992886,0.015075904898953189,0.28420264667645107,0.326679931154496,0.25896373640456044,0.3142823583822467,0.30206424043431035,-0.09362891189037385,0.04106070238053542,0.29158171495503077,0.3203615968543673,0.06138528609553032,0.3686230134397737,-0.04991513317803297,0.0422312614317526,0.009890126085040982,-0.01132991847266263
RpLP2,0.30368331325795445,0.25943930501940443,0.24890762868600447,0.09842401921161538,0.38094486827292556,1.0,0.2924496509417257,0.1752915183980383,0.2854450184604877,0.24462966293262517,0.1570246770410976,0.2505633796252515,0.20810243587358004,0.29692465002624796,0.21877053108481692,0.21196675705836443,0.18033910306387546,0.16615962612072654,0.20916601043407734,0.28812178864088084,0.21652824552372807,0.28076295337052715,0.017574991164120788,0.032182470520535446,0.004842778235077709,0.015348871616927646,0.0731378713321901,0.19548090148967387,0.23910601125242142,0.23456979129535754,0.23860090603739956,0.29393777881713384,0.017632841311173535,0.19702130150013406,0.06060408187285765,0.20425928419445863,0.24741584152874363,0.1754550526080614,0.24452799841026676,0.2527132254058483,-0.06236260098597802,-0.014104664145949629,0.18921328982203497,0.2555931910398925,0.05468524215940537,0.2886036315870207,-0.0022551346641932726,-0.03419574271091262,0.022752009857678755,0.001167520298894384
mt:lrRNA,0.4202100206427343,0.28608573952596883,0.25038167631370806,0.13275664593194536,0.43419996868187055,0.2924496509417257,1.0,0.23669261134471617,0.36751218594114826,0.293163223051293,0.19400915302578384,0.2336289555040793,0.22553302247796134,0.3201354952055715,0.30923005558776445,0.29628438390248946,0.16899870209202392,0.21013039413882037,0.26561166073393244,0.30568577958629123,0.2572305176349931,0.3220402317064448,-0.023550641509102823,0.03139432794110818,-0.021967360940574016,-0.027054205469466252,0.05861459898864894,0.2337080291378359,0.2891371841407437,0.2951198896880696,0.23198798297634235,0.28267295104295626,-0.00712510129713407,0.27198141628101435,-0.007955469907905296,0.2804872777797972,0.26381833666128546,0.169736428181555,0.2324776188340025,0.3052742494023324,-0.060995935952161656,-0.028774185540844262,0.2762466210437655,0.2893729233963294,0.03930707303821433,0.32398663318806287,-0.0394096504769884,0.007103121620116887,0.005594624216649458,0.005693451735542069
Nplp2,0.2323782372113334,0.18678147555908786,0.1451921141499566,-0.005023367101620003,0.23989302098421694,0.1752915183980383,0.23669261134471617,1.0,0.14291479592108755,0.1772781054317681,0.037155524480401055,0.14195099688087642,0.12096190541960915,0.2003405073992558,0.1693008954613034,0.1592904065151871,0.035782655804649455,0.031633920448008244,0.12606327855022986,0.21474304483609286,0.22975350298629835,0.17245660313062405,-0.013500749226930118,-0.00529792605323918,-0.002069499472569479,-0.021843308484165713,0.05339032318866536,0.14753834308460032,0.17604996086918018,0.163030407006587,0.16791751335305685,0.17352027431015077,0.047369754081848556,0.1779554239171822,-0.004242084708481882,0.15532826055703444,0.13296037106835765,0.11757638160958395,0.12967966876034653,0.1399427988107242,-0.05108094720865067,-0.008318966435378836,0.13189030682130212,0.17604234482665224,0.004603527923915331,0.19092243298480097,-0.0020694994725694586,0.043459488923958615,0.029300457166737886,-0.01284571517014224
dpr2,0.3781890077154894,0.27838088326483823,0.3022825711432786,0.11496491599698677,0.4223500384791172,0.2854450184604877,0.36751218594114826,0.14291479592108755,1.0,0.248375531628346,0.134499657923999,0.2668680866798612,0.2776166586922711,0.27616115740964914,0.32101789263981795,0.237746723310157,0.18887066650382708,0.18059540518487563,0.26155347537888946,0.24062535786102734,0.26227365534823743,0.2938986716160932,-0.000728990679092127,0.010994196228235305,-0.02401976108760406,-0.06128635896250738,0.08319429097176688,0.2506430623659511,0.22549980590673144,0.2699880844971737,0.21204513147409335,0.25137072681917283,-0.01572049060526912,0.23094868169081642,0.04181717230749108,0.22307240274883347,0.22299759734409866,0.17155553068570195,0.26055980451202065,0.2685873433925486,-0.053838352599548465,0.009627526288202229,0.21136369838515745,0.22393246094619718,0.06362801355567275,0.26155364772032164,-0.02401976108760405,0.009151264344675163,0.012031371086516106,0.035438543003739144
RpL38,0.33457992170932976,0.2188833538356495,0.26855387948496356,0.08361299626385792,0.335991607947789,0.24462966293262517,0.293163223051293,0.1772781054317681,0.248375531628346,1.0,0.13888345485401637,0.2204252011805811,0.21498071654409565,0.2600850347688182,0.2308771942908934,0.18995671980032847,0.14987328365553768,0.12836717436714304,0.22146614263198772,0.20253527304532132,0.2376666131727912,0.23698972704210874,0.032903966649718314,0.03831280505525889,-0.03657948734765068,-0.01056762386001208,0.05586191130215396,0.1493545961416582,0.22989272898861987,0.21334863843406252,0.2303488591051174,0.18368221663369308,0.07630334095207553,0.15212773572109722,0.03327923537130045,0.18969944484980156,0.22731682083270238,0.1785117797276945,0.17316757975678249,0.19823934373740007,0.011427202925322644,-0.0031203683497861476,0.16981579538009797,0.17383565176823004,-0.008918734307043045,0.23704633698979008,-0.008868533475010137,-0.025495105798594493,0.0038415299837816774,0.016203557036621775
