,RpL39,RpS25,RpLP1,Mlc2,RpL41,RpLP2,mt:lrRNA,Nplp2,dpr2,RpL38,Act57B,RpS26,RpS11,RpS15,RpS12,RpL32,Mlp60A,eEF1alpha1,RpL14,RpL23,RpL27A,RpL31,Lcp65Ag1,Lcp65Ag3,CG14265,CG14302,CG12310,RpS8,RpL18A,RpS9,RpS20,RpS27,CG30413,RpS4,CG15282,RpL12,RpS30,MtnA,RpS29,RpL9,Lcp65Ac,CG18649,RpL15,mt:CoII,Lcp65Ag2,mt:ATPase6,CG11131,CG13545,Jon99Fii,CG14300
RpL39,1.0,0.6175523174072749,0.6459831650181435,0.3575511324953825,0.7454773386015803,0.6483039077648293,0.6772487765208595,0.393284788677953,0.7237314894503558,0.6540001756126376,0.30696421733073714,0.5719663417663323,0.5313911632457903,0.591142257175681,0.599911857441456,0.5440473477572788,0.3798325446109082,0.5170459863716859,0.6071184368377138,0.6392867847219283,0.5846577112010568,0.6065145019767583,0.2758368151802642,0.2116553586399662,-0.035472228644964035,0.09631176838122157,-0.04464321821639475,0.5374202998849401,0.5133573555609879,0.5340277950520226,0.6102993315266662,0.5794841472122443,-0.04222795798259746,0.5121192999274538,0.2348297966291135,0.5657824412425307,0.5843343536633209,0.4671485730797868,0.5290256213489312,0.539648918931222,0.03241169348941514,0.03312756741949238,0.5155741209784267,0.5533305379142696,0.22713060417130307,0.5627318545349008,0.04464937826776438,0.13203653750395708,0.4275852679794745,0.13902090726772093
RpS25,0.6175523174072749,1.0,0.5631269817118597,0.32120732153623116,0.6493568293415435,0.6247551048466553,0.5817518849986638,0.3777331385787635,0.6162688662995774,0.600168182245932,0.23660341555559036,0.5324368206027559,0.5139135360454326,0.5857514646932501,0.5706219471935571,0.5424033584145841,0.34150777475255756,0.4439828686902834,0.5052603730362389,0.593154934000009,0.5179164119984884,0.5324040557642927,0.2819834768563027,0.2579463672866247,0.00038109188863670867,0.10550267131508559,-0.00048345946416215684,0.5159806000972572,0.4947656124826499,0.4872354152763003,0.5018675747345741,0.5700841600907423,0.021273412483704946,0.46953126777838583,0.22833799647957828,0.5418353190464703,0.5636173358319844,0.40133643826200205,0.49436847663311023,0.5601451259968033,0.12668246938518446,0.006495558962044891,0.4721696663595509,0.44121477171621215,0.2673131342317535,0.48477141180788474,0.038709632053259176,0.08371710242061818,0.325589735090001,0.08309232271817805
RpLP1,0.6459831650181435,0.5631269817118597,1.0,0.34686421863311656,0.6697533489066662,0.6348700386793985,0.5882627310676605,0.35768720145436833,0.6442386627547078,0.6076073203408814,0.24388711790502865,0.5705118869752379,0.49048382890638514,0.5537390497081393,0.5414401872773923,0.5328132629089037,0.3460013750066358,0.4453366218574538,0.5316386239769736,0.5745146108649543,0.5698394885450382,0.5522659511553822,0.2757650032460819,0.18824379369701705,-0.026377455817264386,0.10609324801119077,-0.028146138545776054,0.5296113299787447,0.5417768411066954,0.5241637422920656,0.536598144052149,0.5591228214867586,-0.031354876745375834,0.4724365499577871,0.19643711360385213,0.52239472821634,0.5162635276956856,0.4330584986811628,0.5242299348869609,0.5313151644068314,0.042351107639953846,0.030557452405309094,0.49536841264635795,0.5096320450133878,0.22580426470874185,0.4738847210593512,0.005502012420754951,0.12287743502504421,0.44004252476531386,0.11968350212812938
Mlc2,0.3575511324953825,0.32120732153623116,0.34686421863311656,1.0,0.3826516828227289,0.3456529879698154,0.323526072964988,0.15861749385360777,0.3506169594351244,0.31435946984705937,0.6282148702144499,0.2849421343605466,0.27437229809359664,0.31408881719079124,0.3062201521023453,0.26638351443001385,0.6647182795727496,0.25465493955705043,0.30704301277421236,0.34070427906600603,0.29466109570233356,0.3187948127942878,0.23380133274000375,0.23602637848654384,0.013340303895933926,-0.12739834295717176,0.033832156159111976,0.2604541758102383,0.24364004404923048,0.28634447103183,0.2918605093084899,0.3448649375801633,-0.015302707614936876,0.27099455391771426,0.1968219866904077,0.3117137236811493,0.30266655809981713,0.17035491110586568,0.3541852998667011,0.289058931480295,0.056886456874421225,0.016182436976396344,0.2987525577283777,0.2905580566632024,0.20194592068834122,0.25735520084729074,0.07961308210546535,0.05271336753638045,0.09172753004295882,0.07315534373886805
RpL41,0.7454773386015803,0.6493568293415435,0.6697533489066662,0.3826516828227289,1.0,0.7540532934117026,0.7153185965043947,0.4053362903463331,0.7842047564321724,0.7550944008774123,0.2601779514364441,0.629860735905191,0.6082333560195087,0.697391477418311,0.6475799155353623,0.6702249470282482,0.38771782155894297,0.5227248202777856,0.671485012728396,0.6901010099340847,0.6278836028644633,0.6648913123355782,0.34568750506750284,0.2732700054792135,0.004628784462877055,0.12561968315650118,0.028230042459017942,0.6139775621960438,0.6024917827108036,0.6287652632666129,0.6118977801942052,0.6817992764830771,-0.01654460748755921,0.5791313788276761,0.3129397834815125,0.6742447685707131,0.6507033880440012,0.4982101017365068,0.6035933468853577,0.6357971668965977,0.11023830516222645,0.07723466554606728,0.5585149979365192,0.563471066463795,0.2764687787444277,0.595545369069854,0.013799918289527417,0.17118349330345214,0.4554129696623073,0.12266984524789121
RpLP2,0.6483039077648293,0.6247551048466553,0.6348700386793985,0.3456529879698154,0.7540532934117026,1.0,0.6306154205318114,0.39132772312217357,0.7035076978006674,0.6883259074892601,0.2213279097945573,0.5899071709200727,0.5544406944452412,0.626361943996477,0.595698143737988,0.5987867427975618,0.33605022425628933,0.44509109335974917,0.5858220453678838,0.647912559755167,0.5538823596226701,0.5851559664377987,0.30797178782038526,0.2626454086131332,0.013878318302709126,0.12576301711599874,0.04197999139135576,0.5310248970412123,0.5864018953903374,0.5590854094700476,0.5357665981874777,0.5864178503698964,-0.025228111395583695,0.5341699029885133,0.2699513185638273,0.6035021934080524,0.5878112984433566,0.4287269294835659,0.5335542141873668,0.5906673575228819,0.09391485935005481,0.09435003506729917,0.5093199250881751,0.5109001438116618,0.2370746041408475,0.5308120940230577,0.021452535478676843,0.11274858863437376,0.41126620068507036,0.08120209547671074
mt:lrRNA,0.6772487765208595,0.5817518849986638,0.5882627310676605,0.323526072964988,0.7153185965043947,0.6306154205318114,1.0,0.2388468753643686,0.7821587035900185,0.6469815411292595,0.26460397230195754,0.5481762767938229,0.47987963833310227,0.5880618581119322,0.5662955993716815,0.5151933246828034,0.3226794923520802,0.5253204240902586,0.542928751978804,0.5998276193134354,0.554280649124661,0.5437393070801385,0.11275924682875389,0.03020496866275797,-0.0416999772944283,0.2198378533523303,-0.04378041044720231,0.5289176601904705,0.5261077744703179,0.5327365829044846,0.5880795781978153,0.5466654082395982,-0.004944198008097377,0.5098944335532035,0.13894821871630234,0.5122356801774878,0.5707141937911124,0.5538334266045025,0.5132954623472314,0.5298030186990909,0.02086405284252715,0.019697888086045397,0.49226061789488557,0.6624987222755341,0.049372053230879745,0.6676002363289271,0.022020417473280266,0.11462988941794788,0.4459560028401195,0.10634913685932053
Nplp2,0.393284788677953,0.3777331385787635,0.35768720145436833,0.15861749385360777,0.4053362903463331,0.39132772312217357,0.2388468753643686,1.0,0.3450298814443591,0.3768235597748504,0.11418205740928755,0.30862295817002744,0.3496799247421283,0.33459991644184117,0.36844365059268913,0.34394602261200147,0.20418267020873673,0.2680510009388407,0.33754990652304856,0.35305810727572157,0.3388963980052977,0.34851492966041786,0.38283797448956247,0.2898219983001914,-0.10854287722547235,-0.07687139560469154,-0.11629353633202547,0.2986384573484556,0.3075561321972632,0.28747346748444463,0.3332842644480117,0.33810278747820294,0.008239144509025563,0.2989615731701904,0.19209700876010016,0.35767470022490117,0.2684319357513871,0.0874461130736665,0.3310099417668102,0.3096015695841153,0.14591656216595683,-0.08255018491888907,0.31633570743581435,0.1482010857577512,0.2921068209765648,0.17687731084914193,0.06709772887785227,0.052773002130257055,0.03515776844112127,0.09620056599723449
dpr2,0.7237314894503558,0.6162688662995774,0.6442386627547078,0.3506169594351244,0.7842047564321724,0.7035076978006674,0.7821587035900185,0.3450298814443591,1.0,0.7206601058679609,0.261949469346282,0.6006999456046823,0.5622353507133114,0.6312423320993377,0.6009318029391271,0.5817103762976065,0.34798350410131906,0.5431350442533758,0.6336683919918411,0.6524663655615799,0.611442049973955,0.6219297888692676,0.26416975651117064,0.2088197096381432,0.04133616740908924,0.19509608254066477,0.04498051285487604,0.564392915285337,0.5862660974361039,0.6086192785804807,0.5845073075394133,0.6183377037655632,-0.0048560768666838176,0.5458750757507189,0.27986355666092116,0.6131779106584262,0.6267154062018884,0.5076857609569357,0.5704691259283784,0.5834464054287912,0.04200814044905174,0.12130432152277036,0.5273915161916852,0.6100772452849985,0.2232003988922319,0.6130793077876314,0.024884709873561187,0.15832010218358109,0.4815679601119076,0.11339845760640178
RpL38,0.6540001756126376,0.600168182245932,0.6076073203408814,0.31435946984705937,0.7550944008774123,0.6883259074892601,0.6469815411292595,0.3768235597748504,0.7206601058679609,1.0,0.19308596759193422,0.5546241672853107,0.5421590638024076,0.6071153769815397,0.5803206066643437,0.606541360554748,0.3421208346496596,0.46917216608837337,0.5907106293079684,0.6385122451597992,0.6053698400116739,0.6303114866356623,0.297929938107696,0.2566381708104361,0.0035991540473777426,0.15145036967708422,0.012946923509405281,0.5598355126584664,0.5493045102559216,0.540567016550945,0.5445018380114728,0.6086902363151752,-0.011887784751109604,0.5453890885996834,0.2763986091572685,0.5925652896407515,0.5693628099366141,0.43485066808204,0.5571900801101575,0.5740867517681323,0.10197957422251537,0.06242447728487884,0.508024307020894,0.5214252490316031,0.2397618155927211,0.5461831638985792,-0.008300812133356664,0.16550598578164719,0.4278798688932597,0.10457072641379905
