,RpL39,RpS25,RpLP1,Mlc2,RpL41,RpLP2,mt:lrRNA,Nplp2,dpr2,RpL38,Act57B,RpS26,RpS11,RpS15,RpS12,RpL32,Mlp60A,eEF1alpha1,RpL14,RpL23,RpL27A,RpL31,Lcp65Ag1,Lcp65Ag3,CG14265,CG14302,CG12310,RpS8,RpL18A,RpS9,RpS20,RpS27,CG30413,RpS4,CG15282,RpL12,RpS30,MtnA,RpS29,RpL9,Lcp65Ac,CG18649,RpL15,mt:CoII,Lcp65Ag2,mt:ATPase6,CG11131,CG13545,Jon99Fii,CG14300
RpL39,1.0,0.43415472944270866,0.42600253822304923,0.44829697466201257,0.5814738784146691,0.4972437555337383,0.5220269080805515,0.5157248904602866,0.498977650311732,0.37918843184227013,0.4305439476238238,0.4600915502080993,0.4790901312190699,0.48342863205727854,0.47661478652879974,0.4191047916910706,0.43587806138062785,0.4066747687254543,0.44096401235937976,0.39197508602093073,0.4494043567305825,0.4177099963924736,0.3582070114831003,0.4923621009421523,0.09827354260769307,0.1229219222448693,-0.046872131593274684,0.4309770910337527,0.4149219101270958,0.39823762263015994,0.43276068826882624,0.4350340202922633,0.07758247293168788,0.4195790099202202,0.3008740824705668,0.3976716792514265,0.44784969172597683,0.2826542530783469,0.44838817695843286,0.4377652947601488,-0.01665521106161465,0.13299524194098214,0.4608477903205823,0.32254958077132045,0.4014105562452674,0.42322664352241207,,0.06114084888475583,0.037259551094201246,
RpS25,0.43415472944270866,1.0,0.4148418559579146,0.4490224316125731,0.47934777250772137,0.398834197096769,0.4427494212990483,0.4590441016433686,0.4399017549573812,0.41367668153111486,0.47544339999915847,0.40348997766260825,0.43238309347405746,0.4807610945634966,0.3516603054279129,0.4315254544809534,0.4273994343757116,0.4331783881399183,0.34133903209036354,0.44230857193377204,0.4402822627793453,0.37534958729138684,0.3111133850578608,0.4855494517397621,0.04096199074209881,0.08265116551782474,-0.04364570914057867,0.3715585979088571,0.28716247073559775,0.3645468994163237,0.31972856549066164,0.44622500981099084,0.10998899132039967,0.41380152015982513,0.28414333588507623,0.48672529048878277,0.4106635454549013,0.2943686131770505,0.43606431218845637,0.37284317460925315,0.010403729794932178,0.052921233378467755,0.38025840623864504,0.25824920720209005,0.4039271342579069,0.34938008677936905,,0.04981621012905047,0.1285896077386047,
RpLP1,0.42600253822304923,0.4148418559579146,1.0,0.4280873251036744,0.4852285944737456,0.39375116131756627,0.4160043991613059,0.44898298449014673,0.4152021996579787,0.40386702598970486,0.40877008626440237,0.4183013445291286,0.41524693453666306,0.46873821844122376,0.37417894804985946,0.4148920543634389,0.4000118294276915,0.4141202553620971,0.42131432466731117,0.37401362928099585,0.4065104303277234,0.4126894066203711,0.30038491039096576,0.4171214801991487,0.051628765310826885,0.06863721181018433,-0.032149983113670524,0.42823976839742983,0.4160438106004434,0.3656218045894041,0.36828829886907527,0.46127624346567625,0.04219233541560838,0.45206396514445574,0.2393183396161131,0.3658180652049941,0.33575070979567656,0.3482157310742939,0.34811184157477926,0.4417191307203282,0.010440994510708021,0.09940504095148395,0.3742818938615722,0.23839069662312873,0.3610786187312366,0.37469051504631995,,0.007683193802412806,0.07731566362263549,
Mlc2,0.44829697466201257,0.4490224316125731,0.4280873251036744,1.0,0.4562292777570847,0.48092318415937924,0.35934962195602604,0.479679513857609,0.44585720008436075,0.3797764757683293,0.7015635246400947,0.467488536356302,0.3987199288583975,0.4794314132100707,0.39193586458281476,0.42702693841266104,0.6281622250744452,0.4065039737904903,0.42696943185659103,0.42834549017432355,0.5085056656820339,0.4510885461832345,0.4337653233450424,0.5384597177121038,0.027972318635321358,0.12141980267593132,-0.0310259693644474,0.47470242781293787,0.4023890977719377,0.44425691395648864,0.41048834200485784,0.4531720099922056,0.04571193854733772,0.5108629989543255,0.26159473994258675,0.44735076294039733,0.37005734520782263,0.36558593499371744,0.38994645705173825,0.4775236921483783,-0.006945412772173572,0.07448432521536998,0.4515266309970669,0.19100810587894523,0.4870569531710195,0.3363631994202827,,0.07754886470241178,0.15031291909876854,
RpL41,0.5814738784146691,0.47934777250772137,0.4852285944737456,0.4562292777570847,1.0,0.47341254696229995,0.5861805351498486,0.47808936349411923,0.5480495471633055,0.403903402587657,0.4646466421639583,0.5210161939279491,0.4623087969518082,0.4790682634151878,0.402210453423712,0.45977308331746414,0.44101010268246343,0.4510760849649816,0.42919085543464874,0.4551306782215879,0.44239872268487035,0.4312267970926737,0.3918762641440227,0.4940357469795859,0.06816428692622696,0.12584457913535385,-0.014278413199123458,0.49488996223623566,0.481915000738594,0.40358118095047885,0.42015525642008933,0.4637291617163744,0.04126942926818681,0.4276984992580771,0.3339420725035453,0.42896304248994893,0.407182626173625,0.26107981808336206,0.43978425294491785,0.4144183487134259,0.037625729489902886,0.0978659867441571,0.41987569109713696,0.33436114960807156,0.45993254907503844,0.44120124518296394,,-0.004096156917929506,0.06370157135001128,
RpLP2,0.4972437555337383,0.398834197096769,0.39375116131756627,0.48092318415937924,0.47341254696229995,1.0,0.49461894770628173,0.4593829647325473,0.5001183309105035,0.42887176861110415,0.45364136970367486,0.46318195577103194,0.39721973466753036,0.43136217394578147,0.421246645180089,0.4504345454886159,0.5010025466579231,0.4043312013374242,0.42380451635914135,0.3910467112306106,0.4556804747518262,0.39501568921165425,0.33865772616894974,0.45123254179062033,0.07247725071801991,0.04494674964014139,-0.026484515519997087,0.46939056182927963,0.40298002483411094,0.42642490558288026,0.39847167603034356,0.41186243713646875,0.04564743281334568,0.44324485054692375,0.20996745005430803,0.4481630969865216,0.46478507658432006,0.3230717150731391,0.43768809036345147,0.44580137534391967,0.013394099067854243,0.057166939471517846,0.4208397736309231,0.36110732635831394,0.4328648944651049,0.3880736268963725,,0.02921787985141534,0.1632070467943261,
mt:lrRNA,0.5220269080805515,0.4427494212990483,0.4160043991613059,0.35934962195602604,0.5861805351498486,0.49461894770628173,1.0,0.4037833538011602,0.6670237950902451,0.39485726401958543,0.376597603266097,0.46692402867054617,0.43317274320584137,0.4477851259272051,0.4237651956771592,0.42377467914174133,0.3747977480398763,0.44121413804468756,0.42709154361240814,0.4293506202410244,0.4762430340979773,0.4258081414709069,0.20647817503361,0.2834059278720263,0.02208507202118509,0.1081924121131516,0.04340409888150579,0.4225184299399868,0.44800924483448756,0.3805969455314862,0.3936613861679127,0.3981774512264793,0.02067720707222299,0.40492166719058037,0.22598881351356975,0.41801595687020515,0.44052054649041383,0.24339152929779698,0.3868417329349901,0.4062747863993157,0.0018604384093913683,0.06008442763571815,0.42887551844299304,0.4945610201434203,0.2623057496699643,0.5827107066223852,,0.004502378333950088,0.12320282248668385,
Nplp2,0.5157248904602866,0.4590441016433686,0.44898298449014673,0.479679513857609,0.47808936349411923,0.4593829647325473,0.4037833538011602,1.0,0.4033323218468487,0.31699743312291023,0.45647229308528947,0.45175317453663266,0.3971530286165797,0.49785337090458137,0.4062898120427702,0.45440152602127737,0.45862861994701576,0.5130205532746022,0.42919786713213304,0.3797932953546814,0.45482058445695117,0.43566623771812296,0.343958470094506,0.46339164577918657,0.00129078178916065,0.056489302233901355,-0.032703695418359914,0.42737501351566115,0.34492148538360473,0.4228884990451882,0.37162334841677813,0.3928997483504773,0.08525820611672358,0.43723047896981143,0.3749586319970325,0.4150432303351817,0.3845746891605593,0.24864986647490367,0.47512655245973173,0.4392093063286016,0.013997017834724049,0.07103517917387987,0.45438220265933865,0.22217637767422613,0.3763739728385607,0.3742172377117836,,0.10452604694029795,0.013836256607438027,
dpr2,0.498977650311732,0.4399017549573812,0.4152021996579787,0.44585720008436075,0.5480495471633055,0.5001183309105035,0.6670237950902451,0.4033323218468487,1.0,0.4038220599304315,0.4177595457056456,0.48827829397328665,0.41487741180159665,0.419134608137015,0.42828197459408157,0.42940331722006286,0.44478194801673543,0.44275484087629646,0.43455804470537235,0.4592704007920575,0.4081862072943432,0.3812719975011085,0.3210089395349288,0.4510485427101647,0.08978108111488194,0.15150039728880246,0.00548779176145172,0.4314489435762155,0.4730233947613313,0.40267727648702145,0.3992332834475829,0.4196628259830683,0.07108698657938618,0.4281640219885345,0.27668793056838953,0.4727655302949838,0.3987059491564348,0.23775930131837714,0.41691226696196504,0.4679167574260259,0.024473337273017474,0.11012145928603963,0.45085859469696044,0.4095053167847299,0.42246745273597014,0.45160424234843194,,0.06387448228624439,0.16899419773397126,
RpL38,0.37918843184227013,0.41367668153111486,0.40386702598970486,0.3797764757683293,0.403903402587657,0.42887176861110415,0.39485726401958543,0.31699743312291023,0.4038220599304315,1.0,0.33668535409201894,0.35787404324233124,0.2845493579204062,0.3775066274046143,0.3370066899590609,0.39760762426669094,0.3646639847929894,0.3814831134658851,0.3381201207971178,0.368573866004432,0.3608633379470353,0.3568691569164221,0.27614615395442443,0.38534897207365604,0.04308521402877533,0.035928701822661314,0.04329118098221835,0.4104485953311405,0.3248263915540998,0.3681632526780335,0.3665798713734251,0.3855216402134879,0.16553976889454355,0.40164814068400356,0.2359047843491593,0.38658577436802805,0.34494625697053666,0.24297471748788296,0.35389829124290006,0.4026837791680347,0.09414666642884394,0.11040175339849198,0.3777448665956629,0.19140577481982535,0.3637687235295197,0.3039801157698664,,0.10833203329247439,0.20394095817575575,
Act57B,0.4305439476238238,0.47544339999915847,0.40877008626440237,0.7015635246400947,0.4646466421639583,0.45364136970367486,0.376597603266097,0.45647229308528947,0.4177595457056456,0.33668535409201894,1.0,0.46806606307110804,0.4178177338557722,0.43831887242972833,0.4281148156116619,0.43694697855102094,0.5964441991447663,0.3740166062319997,0.3916039758810585,0.3636172802372279,0.4487992060610816,0.39711340798497985,0.35455941967300225,0.46264251091901265,-0.0009584470188320205,0.07887551761256899,-0.05052046805232144,0.4300735988578711,0.3883946002783571,0.4362934337228833,0.37671597134745516,0.4490882869150276,0.03487132931396732,0.40269269043527434,0.295243433558964,0.4214690526172852,0.34643899626647756,0.2912609223695793,0.3955691069102738,0.3776279015869356,-0.06227030576900078,0.10459602371385238,0.4386431460195096,0.2879991503348569,0.4475066896085044,0.35826363575500053,,0.037858434887838674,-0.0033485846565534036,
RpS26,0.4600915502080993,0.40348997766260825,0.4183013445291286,0.467488536356302,0.5210161939279491,0.46318195577103194,0.46692402867054617,0.45175317453663266,0.48827829397328665,0.35787404324233124,0.46806606307110804,1.0,0.3944619492488077,0.45268892964159485,0.36188301399428413,0.39121538014973567,0.47162225371176375,0.42214188727527957,0.39627543326911574,0.47843686572237043,0.4860035897155153,0.33550319421301217,0.3306723083304567,0.47442454796848205,0.06970501534904822,0.08241141961581451,-0.0420120985803359,0.43225736466451553,0.3870099544721547,0.43071042139441906,0.3927081291582597,0.40290678009241804,0.08104335688935552,0.4272311013253876,0.3042714178901992,0.422328023006358,0.38861167902615323,0.24202641717446766,0.4144600739627712,0.40415123008612636,-0.041079318816237116,0.09844418629724296,0.40414806624898314,0.2570001812681546,0.3830737474019724,0.37138313261347183,,0.010040479396819494,0.05746809736688061,
RpS11,0.4790901312190699,0.43238309347405746,0.41524693453666306,0.3987199288583975,0.4623087969518082,0.39721973466753036,0.43317274320584137,0.3971530286165797,0.41487741180159665,0.2845493579204062,0.4178177338557722,0.3944619492488077,1.0,0.4196590440381903,0.32967752957060514,0.36731105840635075,0.38934920160684217,0.41709773886247425,0.41072031715231205,0.46811569826100347,0.40942821412919933,0.32447213614089,0.33971999336741326,0.3913984240750035,0.04863194567604339,0.05331871138155064,-0.019882850175115315,0.44258228315900544,0.38442856185706126,0.4342255664668047,0.36991228090584316,0.3841209155603331,0.12141319393999946,0.38552322673696005,0.2808411027932949,0.2902926402435547,0.3254067505147108,0.3257841835665821,0.32725638302743293,0.38592649002205637,0.11938163380993712,0.022462065700898745,0.3771131130514889,0.25148220820682005,0.3659431962711025,0.3426988488816352,,0.04627122194350569,0.10317380283955221,
RpS15,0.48342863205727854,0.4807610945634966,0.46873821844122376,0.4794314132100707,0.4790682634151878,0.43136217394578147,0.4477851259272051,0.49785337090458137,0.419134608137015,0.3775066274046143,0.43831887242972833,0.45268892964159485,0.4196590440381903,1.0,0.3687487966707703,0.4293538571901572,0.41494016927337957,0.4487641847405567,0.3583806366707316,0.46410376103195466,0.5011622374822545,0.44667236505305824,0.4099957206144737,0.4896800531276524,0.1057380686978311,0.09402429611480169,-0.04819976961131595,0.4667472416912827,0.3673950738080096,0.41474081136873747,0.37467713185496676,0.4245986684308308,0.029998232766718345,0.4621630881776045,0.31580053133180763,0.45140669549100987,0.37171924711320564,0.3159078735549586,0.44916924731693814,0.4781354673318596,0.058750063336200066,0.0021945300146506237,0.42702012298225606,0.21934123768111463,0.450717898602543,0.36177341481035014,,0.08358845140294968,0.11433807177165833,
RpS12,0.47661478652879974,0.3516603054279129,0.37417894804985946,0.39193586458281476,0.402210453423712,0.421246645180089,0.4237651956771592,0.4062898120427702,0.42828197459408157,0.3370066899590609,0.4281148156116619,0.36188301399428413,0.32967752957060514,0.3687487966707703,1.0,0.4185078930547618,0.4711839984894756,0.3829473535953273,0.3704045383190048,0.40704705120290013,0.36101330206930443,0.3752242555563433,0.3566835233631406,0.47818570225285895,0.0618368959105809,0.1051928465138274,-0.022591024835869205,0.4336838414102825,0.3889886543152899,0.4013294495337426,0.36183830378180915,0.3576303777013268,0.0312808903832135,0.3890434764582642,0.32546069509724107,0.4790307302880777,0.33061561909294807,0.19785950428868573,0.3706285406004729,0.38745531130272753,-0.025481021708464422,0.12257008710370604,0.368646699810806,0.2216897674032922,0.4469169659887181,0.3510163121888227,,0.007482198991181366,0.04655584499931873,
