,CR30029,pre-rRNA:CR45856,His4r,CG42815,RpS3A,Jon44E,Lcp65Ag1,CG7630,ATPsynG,RpL39,Phk-3,RpS25,CG32453,CG13731,RpS21,CG10953,sta,CG14302,RpL9,CG4362,Osi14,Mlp60A,CG8997,CG42305,Cpr65Ea,RpL35,epsilonTry,CG30413,Osi7,mt:CoII,Tm1,ATPsyndelta,CG13069,Mp20,CG18649,RpL31,RpS17,RpL14,RpL23A,RpL37a,Lcp3,Cpr51A,CG17633,RpL18,CG9747,Tpc2,Cpr65Av,betaTry,MtnA,RpS9,Acbp2,CG13060,CG13159,RpL11,CG13063,CG11911,eEF1alpha1,Jon65Aiv,mt:ATPase6,Jon65Aiii,yip7,wupA,Jon25Biii,Lcp2,RpS12,Lcp4,CG34282,CG15213,CG32266,Cpr47Eg,RpS27A,CG9083,CG31626,Gasp,RpS20,Lcp65Ac,CG8664,Osi6,RpL38,CG4115,Vha16-1,obst-A,CG13738,RpL19,Jon99Fii,Cpr78E,Ipod,CG15282,RpS23,RpS16,CG17290,ox,CG13679,CG15022,RpS11,mt:CoI,CG12310,RpL24,CG7299,TwdlM,CG14300,Jon25Bi,RpL8,Cpr67Fa2,Obp56d,TwdlB,CG11131,TwdlF,fax,Mlc2,Vajk4,RpL23,Osi20,Neb-cGP,Jon25Bii,Lsp1beta,Nplp2,CG13315,Lcp1,Mhc,alphaTry,CG15212,Hsc70-4,RpL32,CG9568,RNASEK,RpLP1,CG32073,TwdlD,TwdlW,Lcp65Ag3,up,Lsp1gamma,CG7953,RpL28,EAChm,RpL30,Obp83g,lncRNA:CR40469,Lcp65Ag2,CG17127,CG10472,Cpr64Ad,Osi15,TwdlL,lncRNA:CR34335,sesB,asRNA:CR45663,Ag5r2,RpS3,Act57B,RpS2,CG12057,CG13059,CG13043,CG30457,ATPsynC,CG14454,RpS8,Jon65Ai,RpS14a,RpL21,RpS18,RpL27,RpLP2,Tm2,TpnC47D,Mlc1,RpS4,RpS29,nur
CR30029,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
pre-rRNA:CR45856,0.5,1.0,0.5374730868558485,0.5,0.554257012552428,0.5,0.4953647807556342,0.5239886633547846,0.5253099443061631,0.552523655834868,0.4998953877935697,0.5583657815568464,0.5209999488857159,0.47267855028437783,0.5595668241087062,0.5036648649729717,0.5662211537593258,0.5276032346094388,0.5234864446949307,0.5,0.4930321375450304,0.5712719046174053,0.5095025525248843,0.48764800376881867,0.5078379744869173,0.5276949842784329,0.4950558941152231,0.519354574432771,0.5264466006290998,0.551498548938419,0.5433785950223515,0.523987537031404,0.5053999079994999,0.5244713434051361,0.5219298669870404,0.5630446672236437,0.5537814421042773,0.5430975300589509,0.5083063675677602,0.574968045241615,0.5035164817005596,0.46680298920426855,0.4925203263554046,0.5259918037210223,0.4941023725003584,0.49494080195302564,0.49426889994055845,0.49645129802505805,0.5133531165298322,0.501985653014913,0.49504187482735035,0.4926269345137935,0.5291270761173267,0.525591068976208,0.48972806941892333,0.5,0.5563503450241487,0.5074179034995291,0.542514337690801,0.5287646720073593,0.4786255371750501,0.5283994015247824,0.48785857695086177,0.5,0.5428268885371235,0.5033917475095581,0.4950558941152231,0.5118580317687272,0.5623063819939516,0.48208874725780815,0.5740185294986454,0.5026733131707598,0.48753541879072854,0.5180050945589041,0.5257933319015129,0.49759469253001676,0.4950558941152231,0.5120477942041215,0.5478064929530327,0.540617309371387,0.4942309889344796,0.49371724004988254,0.5199437179027427,0.534840466090866,0.5,0.4919194627250484,0.5040791841714765,0.4748211192059572,0.5165283921211756,0.520844311389822,0.5194636628891545,0.5255332567668454,0.5045881325638181,0.4934679111690225,0.533215424326888,0.5528363112903493,0.49841903762480094,0.5479875378722026,0.5,0.4764477196589463,0.4997509710608911,0.5252597071090739,0.5521887696278854,0.49831747677382615,0.48435209874006196,0.4725274770825218,0.5,0.49251918683587115,0.5048097550154697,0.5302153244456559,0.4917302971774365,0.545734590624982,0.5204152287633879,0.570946621981221,0.5,0.5,0.5349303359453667,0.52469707894085,0.5,0.5353027716483184,0.551310170962967,0.4963232168989,0.5079783144932601,0.5433351120874079,0.521777125413374,0.5254453085735944,0.5607056778019367,0.5314389412085331,0.5008462454136177,0.48917380600068416,0.47087983176381254,0.5281325299809012,0.48875747059384306,0.48405506407463983,0.5347814702800793,0.5197082426376913,0.5184578675101043,0.47830970355756003,0.5294031427514198,0.47343994249172033,0.5290105267904931,0.48034977254230177,0.4931296901585402,0.5169379549323887,0.47797804907929614,0.5059149727361558,0.5518134652039279,0.5046642600954945,0.493442429508871,0.5280706583272577,0.539419371988231,0.5125512064703186,0.5,0.4774808379420085,0.49561370803678684,0.4860216689584588,0.5553342566163187,0.5182444913510966,0.5284370049934529,0.4950558941152231,0.5272279511355639,0.5356209755168162,0.526660360561311,0.5227023033268765,0.5558719464691909,0.5288326457958149,0.5506412360559271,0.5362609741234118,0.5333150584367411,0.5244015988870732,0.5333679117238355
His4r,0.5,0.5374730868558485,1.0,0.5,0.5203675807588524,0.5,0.49459131737044143,0.5209792316082176,0.5448909190943099,0.547347842944935,0.4757609443293141,0.5344610227074491,0.5349219780777268,0.48791232979337074,0.52413622659976,0.4954259318896493,0.5389891625861871,0.5117239734018796,0.5025975559796729,0.5,0.507294515194733,0.4714883651247297,0.5058740553879071,0.49197469747429484,0.4905510037201404,0.5398705107901518,0.4894425554797372,0.515576571535462,0.4835466701995988,0.5296889956872798,0.4908670644139242,0.510791192616763,0.5186790747376846,0.4733051730846673,0.5345885490037537,0.5302793730361985,0.5255520813320183,0.5221030884199593,0.49136282039810686,0.5590158590184559,0.5200271518648979,0.4951525965629721,0.5037427637012787,0.5305064743970216,0.49635000350598946,0.5160248523896226,0.5317493353446547,0.5105394952090911,0.48708150692775437,0.49755447042294665,0.48707468887285854,0.5111466997476688,0.5164556717185362,0.5200749975304697,0.5104077812481622,0.5,0.535907251982279,0.505891176081491,0.5492608734317564,0.5109583157025841,0.5100929214415028,0.4868310389851334,0.5124758162432517,0.5,0.5392026087459362,0.4884993457422758,0.48944255547973725,0.4866879517085166,0.49921349378437946,0.4848730515780103,0.5331800759788363,0.5112936584844379,0.5090558140777323,0.5192895132638801,0.5492707305000042,0.5067083373907547,0.4894425554797372,0.49310735539228706,0.536106322379771,0.5033279567200013,0.5413527550525866,0.48798372586668937,0.5454878198540754,0.5287726916291674,0.5,0.4955241168839852,0.5098939765962238,0.4814655889744316,0.5113462013233272,0.5286373351386193,0.4742721703446237,0.5539484599940576,0.48439731124875396,0.4769916058224486,0.5329454270782292,0.57674049339919,0.551431260759752,0.5234410547043803,0.5,0.48683741660373403,0.49083889226942345,0.5067253736635166,0.5383287785760762,0.461798450052575,0.49363253383059985,0.49563284511661104,0.5,0.5186431697917943,0.5781416923333559,0.47755654105186623,0.4953540243934418,0.541945876173393,0.5029080879408981,0.5249449332394742,0.5,0.5,0.5124951934873105,0.5052927414230091,0.5,0.46541630215883245,0.5174792217205524,0.4735188130872569,0.5247941243218062,0.5448291797164793,0.4961236361061599,0.5284611068037024,0.5351641329060597,0.5162612053144356,0.5039348360623896,0.4840254659644356,0.5062100313741817,0.4806853762556366,0.5072419826684964,0.5046780874421442,0.5480138336691345,0.5390994191697366,0.5219148363315484,0.511037785927147,0.5443422002354853,0.4920054172895344,0.5248253444950126,0.479095549353343,0.47803714013606236,0.5157391744711123,0.4724326059588379,0.5431329881802408,0.5269777286094055,0.5246641555195207,0.5106888326383001,0.4825353626450421,0.47654189041508455,0.5218399739576765,0.5,0.5024425609632671,0.5320136266426397,0.4790891587753631,0.5222027193300417,0.5399589790787765,0.5119557870148466,0.5102928469132386,0.49464375110967035,0.5272957718403299,0.5167543915483714,0.55128245385925,0.5105628723177528,0.4780512948978457,0.47914170544038737,0.4852628129064286,0.5035780624862655,0.5329840181982557,0.5294238097629957
CG42815,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
RpS3A,0.5,0.554257012552428,0.5203675807588524,0.5,1.0,0.5,0.4988089045094506,0.5444260652152488,0.5589084613587221,0.6360858521658345,0.5397079150547496,0.6004521847808871,0.5804402173772316,0.4609695765416622,0.6136999079519581,0.5199653437770151,0.5970546732838238,0.5796405135659455,0.5561186546005551,0.5,0.47868447361040617,0.5741349467418879,0.47602406779961115,0.5098198995313112,0.5215111125301957,0.5952303908397357,0.48997340746137497,0.5356179252436425,0.5179229380832183,0.6293644217925909,0.566914359247136,0.5233836716255218,0.5104689316216766,0.5462173620491504,0.5707796425530816,0.6304125423129937,0.5888164113625545,0.6083454145288015,0.5748259197411021,0.6191025569689186,0.5002332676619706,0.45182469842134393,0.49697132045938075,0.5585906049656265,0.4952731816343423,0.49985726585929374,0.5218495597270114,0.5294874110052926,0.5498955474635083,0.559339824267584,0.5500261626936956,0.505683182030588,0.5840541312393721,0.5688034373683927,0.5165955980433719,0.5,0.5941140014923334,0.5179905598858069,0.6403245822863012,0.5510767443562951,0.5139575146176126,0.5691536634248451,0.5348421069791057,0.5,0.5936961306533509,0.5045492831505343,0.48659462071811604,0.5024866985755003,0.5326620779557687,0.499756300470921,0.6076479889081314,0.48086582263316296,0.48196082097985166,0.5002347285048068,0.6283497999935624,0.5148370685321889,0.5001097676911516,0.5074127639444653,0.6304320090207913,0.48445249148429076,0.5402566505301735,0.4833112082797058,0.5893851706059671,0.5894705120100386,0.5,0.4822322054073828,0.510324763890826,0.49497705443976975,0.5913177650736994,0.5570719584967138,0.5222227844228639,0.5627665207638353,0.5090934004862055,0.5026396171443072,0.5973007274044617,0.6074149345426709,0.5533195857519119,0.6020270927207059,0.5,0.4949424358493553,0.528089166732193,0.5003885984788616,0.5764726888565396,0.4599067955658994,0.4834030327920228,0.5107138606390257,0.5,0.5072013944096585,0.49038974527187573,0.563049169879089,0.46186953978592804,0.5977391060405391,0.50106258049588,0.5602288966237161,0.5,0.5,0.6127893168453972,0.5441990091656486,0.5,0.5460202048039701,0.563116879081193,0.5070552628135884,0.5557201727587476,0.5883842668891948,0.5725136169628401,0.5642280247957826,0.6312065884538908,0.5378223926737152,0.49774971136004553,0.48376573950391444,0.46535394980803496,0.5538770528746221,0.4890741708596102,0.5053567469436897,0.5813213429071151,0.5722215307563521,0.5796896793981708,0.5175365702784669,0.5746014136821045,0.4948377961419693,0.5310061640547757,0.5202797636839067,0.5418834397672293,0.5038994897723769,0.4939512390400283,0.5681930202685763,0.5674684996649815,0.5152903989193411,0.5138846903517758,0.552262580137855,0.5813568775361867,0.5986592711029126,0.5,0.5049317133565806,0.5080298993673985,0.4983636804137357,0.5821412760343927,0.5925039148932693,0.5923213973567532,0.4832158339748572,0.6035696256460198,0.6170670182118173,0.5981459718625938,0.5978818093086443,0.6322408986401823,0.5479956125020209,0.5809706157541243,0.5492747059681292,0.5839118853821844,0.6148281958266292,0.5907538237907847
Jon44E,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Lcp65Ag1,0.5,0.4953647807556342,0.49459131737044143,0.5,0.4988089045094506,0.5,1.0,0.4672426524584099,0.44746333569639724,0.41596195958662574,0.5469092835017499,0.4598046252724767,0.4530029094728289,0.6983076860093534,0.4793849318453192,0.6550027094098962,0.4831750996992138,0.37039804151838923,0.5039816876821875,0.5,0.5121922814326322,0.48091223332859895,0.5434109903948366,0.6221511698791764,0.7635566642772692,0.5078976639623132,0.5018876215900848,0.44477722296312594,0.497963125522167,0.48368929744936967,0.5074959683791194,0.6473500246403754,0.5028408780823047,0.5019201738950595,0.4484160982922441,0.45576685186719446,0.4961750131440877,0.47206547710372126,0.5064701596254595,0.4560223245064265,0.4991763199605833,0.763578012132271,0.48478489772949956,0.49886765975756164,0.5670946400680292,0.49469941236263654,0.4900618661939061,0.48100234589854846,0.4514403746481165,0.49135006240459084,0.5330154964613275,0.5294568133441158,0.4656088308435286,0.48485445162629953,0.4973438595093302,0.5,0.5201784978406891,0.5479132194513104,0.4328989712959717,0.4936251045432161,0.5385197536260681,0.5188344087087603,0.5130165029826441,0.5,0.48134941057379266,0.512716312171631,0.4855060597730491,0.6438846945800963,0.5039366961733742,0.6754461053041031,0.4759175485376544,0.4927146302986633,0.7569648024174017,0.5578265985607483,0.42811173458149143,0.6064271793240896,0.5073481421957634,0.5276205594106217,0.44019596468426037,0.5083685964557607,0.48621597287926654,0.5576799818914923,0.4506404220001945,0.5010603423412082,0.5,0.5014117330771363,0.5224003431048865,0.508956243092744,0.5212674895588877,0.48120312317731584,0.6277276351794886,0.4898374661577909,0.524487341814163,0.5000469665212336,0.49186362222278196,0.45891636937730257,0.47922392071732517,0.4594822710182173,0.5,0.8089452268090365,0.49925170198773267,0.4691667493563903,0.5042327404536544,0.6601857340847482,0.6339326726942175,0.7420261910304575,0.5,0.4995006975669708,0.5391064934035028,0.49851371980749576,0.6445182994215892,0.45587176674182506,0.5203261502832486,0.44830430623021383,0.5,0.5,0.3846904808842264,0.4644633067569009,0.5,0.5467850455914397,0.4603411057505481,0.6707662204644845,0.46042226363418315,0.5093047672708744,0.4867669125393644,0.4451188296392114,0.48944096368019524,0.4445612701897856,0.6692614152286259,0.6197288199530907,0.8134351385739118,0.5121351790984329,0.49159329271415403,0.5260077704752638,0.4869845496717904,0.45254750252427983,0.4856609397878707,0.5591714329026715,0.47480335388017075,0.8149027640725868,0.5532744495042408,0.5059885120113574,0.48910327192302494,0.5402829401323553,0.7398735511159513,0.47246216091602533,0.4397221637762989,0.5484331554041277,0.5135579911845408,0.509529621825641,0.5009015088572373,0.46148839131594477,0.5,0.5066115255406906,0.537216389935285,0.6305245381879614,0.4366659159150482,0.44792786502759463,0.48058974056195247,0.5182691834071205,0.5014236661150989,0.4803648970828001,0.5079826931610751,0.49279457249130815,0.49360547558396606,0.5123989486245192,0.5004602682300788,0.4820708382563192,0.48950630442379234,0.47848560704895005,0.45649409647264405
CG7630,0.5,0.5239886633547846,0.5209792316082176,0.5,0.5444260652152488,0.5,0.4672426524584099,1.0,0.5458121733973884,0.6123530373191796,0.4960897581199435,0.5706305013087749,0.5359462249107685,0.4516017847021463,0.6107932179961204,0.494207657404693,0.5969420364648262,0.595179129862972,0.5664489692910133,0.5,0.5292222185469762,0.5364641418665584,0.5315557022790076,0.488500676381111,0.5048451308604229,0.5620644713243086,0.49349500605677277,0.5670553178391993,0.4805067356457513,0.5610158560964287,0.5369887764883623,0.4997359153316056,0.5114066115955205,0.5255521324188913,0.5309438508954519,0.5907551511143825,0.556347664746811,0.5731012722403579,0.5372129036984933,0.6087941321934904,0.4896810887223355,0.435861406290613,0.5013868672181778,0.5543160659739127,0.49402287044724863,0.530843959767137,0.511894448441904,0.5236328072888911,0.5886715749431001,0.5208980752924676,0.5442483106347336,0.49581705911014723,0.5112086328600495,0.5586046621918282,0.5361990013785665,0.5,0.5756942333847325,0.5230428312466492,0.5986669689611749,0.48646723673549286,0.5104323002074965,0.5404078593226797,0.5204770336825322,0.5,0.5823457560722224,0.4831399255416588,0.5033906339086319,0.49424145466632313,0.5187250046790661,0.492955979254167,0.5788884814409357,0.49783331381224555,0.47348380786010147,0.48515101122363014,0.6003852021228325,0.4758619157040051,0.5083384478345615,0.5139623386668528,0.6118593147931046,0.5026108196226624,0.5265513269717647,0.4719302325280868,0.5481528909854548,0.545691722132456,0.5,0.49341168062300655,0.47980232233339615,0.49624933193996035,0.5707562616849535,0.5555942975273798,0.5024069993610516,0.5696813137110298,0.4890889581192985,0.484235526868529,0.5676873739330411,0.5692996214321996,0.5194384466532367,0.5707612555761661,0.5,0.4712878223626926,0.5389293386922311,0.5140816815081433,0.5381666493090121,0.478553458200486,0.46982827925030096,0.4609382129719362,0.5,0.49432916299146684,0.48906904530825096,0.5381795681564951,0.45717521996345,0.5751234890463264,0.525988016900767,0.5729901897839519,0.5,0.5,0.5681886479281018,0.5445569784016683,0.5,0.5110505771361641,0.526646206013372,0.48686671651760144,0.5519038083608093,0.5567604047664697,0.557475743467011,0.530881531330974,0.5633169878405366,0.5298784875514719,0.48987800580953733,0.49352951560945285,0.45474730488296733,0.5228929739225606,0.47958264652388444,0.490673349054126,0.5575250118243174,0.5339233490184786,0.5440196007844262,0.5067022014986039,0.5514017619928661,0.46087621836914267,0.5154576658380114,0.5279395186442676,0.5136276866735899,0.49721750830183714,0.4700209234056409,0.5476764048870483,0.5670818773576154,0.5032171918699094,0.5411459219922199,0.55367098897729,0.5271822734040195,0.5551437173785844,0.5,0.5267080550182851,0.5127916141335925,0.4891154830690351,0.5741940708938608,0.5504063687134132,0.5384685784941795,0.4885471921308432,0.535389033575544,0.5739068629057628,0.532619881201232,0.5653757655891385,0.581328285603723,0.5195737857467211,0.5515078932474131,0.5320081453473541,0.5630326052024774,0.5957726049670271,0.5288352188111368
ATPsynG,0.5,0.5253099443061631,0.5448909190943099,0.5,0.5589084613587221,0.5,0.44746333569639724,0.5458121733973884,1.0,0.6044153509824622,0.5214785630703853,0.5694936448112826,0.5476182013149349,0.4524281241453245,0.5746444813737297,0.4633208945227584,0.5791333169297508,0.5836802922683227,0.5588074235153043,0.5,0.48691948580628364,0.5506317234948175,0.47642837936520316,0.4950233406889515,0.4582806440513493,0.5869175598799553,0.5036980635439112,0.49791415879159856,0.4866135266351709,0.5785133599143897,0.5537643160388547,0.4880049096271617,0.539160466363015,0.55060857717158,0.5494994665716636,0.5730658398070834,0.5746837745825103,0.5616913566572641,0.5537143042647306,0.5726582925301301,0.495210261689997,0.43992721708094573,0.4935887558792772,0.5643462143311408,0.4852752595365599,0.4954471507742608,0.529084448775328,0.5099129642357473,0.5472638867720133,0.5216243757335125,0.4986717457806648,0.4959867915590032,0.5158741378517099,0.5365751708501466,0.5288699879981542,0.5,0.5882484626082138,0.5158279936026959,0.6127229121358064,0.5161039225060853,0.4797198854307127,0.5586989645575142,0.49446505120415096,0.5,0.5685096246577278,0.4898112840572844,0.49179416618851074,0.4479137463149934,0.5337770323150709,0.46525907934062666,0.5484793557058609,0.482865350627827,0.4486383758631832,0.5043179420381019,0.5801455791390119,0.4804913075107697,0.5156019608993117,0.5113026433798534,0.5754392907801512,0.5301718791743404,0.5534270883760775,0.46454535113420536,0.551473006085084,0.5615282387058393,0.5,0.49145243338304306,0.5127746123546694,0.49502362433660846,0.5202698702558106,0.5646406312780318,0.48967200617330753,0.5605373822463133,0.5229631055812682,0.5190654228814175,0.5631022939784063,0.5881204124710195,0.5187350363486267,0.5890775499786001,0.5,0.4267791196896239,0.5185983220645961,0.5102347587770628,0.5279494280554471,0.4811412470377455,0.48385335898395426,0.44082905090773816,0.5,0.5059991050091224,0.4794360343819047,0.5514168715125123,0.43825265796744445,0.5982276690628562,0.507588591506814,0.5290896216382093,0.5,0.5,0.6005910309780318,0.5277371542944846,0.5,0.5315163195939132,0.4960280693072613,0.4677213781901019,0.5453938345701222,0.5415455242944267,0.5427136257793033,0.538572019645194,0.5760570611078066,0.5192896682799945,0.44272824450966625,0.4790799110771573,0.44465566347371227,0.5338366653211537,0.4985660024176347,0.48925869354874896,0.5666700808956827,0.5559362346251568,0.5331555143060898,0.5043354551344172,0.533669213900094,0.4477212800755331,0.5110923530363791,0.5124324752098478,0.5152881045901859,0.5323292231371862,0.464066128682894,0.5353470704144209,0.5896164411670282,0.4883703405329169,0.5285878346266553,0.5173818783760576,0.5628349498331857,0.579393450819817,0.5,0.5500840383919627,0.5066888017028381,0.49059936122989956,0.5762828511309672,0.5635313909337781,0.5683915521811298,0.48782620040337726,0.5551096972533587,0.5454687549828579,0.539461243203245,0.5487362509553513,0.5737041617436397,0.5258766951466463,0.5477022043619815,0.5353040883375373,0.568310559705908,0.5759358652449679,0.5477914553758912
RpL39,0.5,0.552523655834868,0.547347842944935,0.5,0.6360858521658345,0.5,0.41596195958662574,0.6123530373191796,0.6044153509824622,1.0,0.544318568578729,0.6790310540680523,0.5757661205562408,0.4528345178894351,0.6891574316405173,0.48708420358383286,0.6641462951732342,0.7051361334288928,0.6180994530468213,0.5,0.4914259162611817,0.6157782793849489,0.5270286114693082,0.48843239256907295,0.4551058647682652,0.6274940973976937,0.51473609421364,0.586686312052497,0.5005717814857326,0.7246809280268046,0.5822683665551793,0.5146021881354723,0.565902986926898,0.590478777037369,0.5881164495660475,0.6833555971418183,0.6710743604122351,0.6758584000778797,0.6087002336115779,0.6969114233462034,0.5174030835079293,0.42091796669492776,0.5107054047678725,0.6048871592383745,0.5055777146865094,0.5204511252630035,0.5177548637602136,0.574786910257286,0.6317173086381688,0.5880322231842289,0.5639127947900413,0.495408294115708,0.5599134902770454,0.6226421527662328,0.5637820670230194,0.5,0.6386336005998597,0.526610583722288,0.7323527359184744,0.5486245434601931,0.49109511909791814,0.6010006786599099,0.5323294342838103,0.5,0.7009012310462193,0.5021899149153608,0.5053086946896508,0.47604841948762655,0.5476256987239347,0.47512064425125833,0.7128268352983292,0.5054970700463447,0.3962531357932194,0.49233189616795914,0.7063251371735633,0.48056755866058676,0.499023761673658,0.49955454443470126,0.7348534663414183,0.5168503091614699,0.5594259010028192,0.49273153351192767,0.5816284854955367,0.6338243332400798,0.5,0.5272943324478024,0.5062777567953334,0.5034328103967295,0.6470220194766907,0.6300135549417025,0.4993297009389795,0.5958490641551855,0.5251648481089979,0.5481570431881864,0.6420003300412644,0.7035962002648376,0.5447330181179583,0.6795414201505906,0.5,0.43617186697601285,0.5352050879547908,0.5580138742442746,0.5915846307999,0.4500209045961464,0.46467550418146836,0.431757705542715,0.5,0.505028678470647,0.4604973190180397,0.5778191457212172,0.42807732971332607,0.6949166842130998,0.5115606116029604,0.6383460763334201,0.5,0.5,0.7200725860066677,0.6297789496742605,0.5,0.5533568011647506,0.5842307262512433,0.4946920497587255,0.5894959790687246,0.6674173289422707,0.6378589087194231,0.6003082923698084,0.708156654998594,0.6458460747137593,0.4688939412732788,0.47313604939771586,0.4103090441841233,0.5477444369387231,0.4997289434958053,0.5091568850486228,0.668057355706999,0.5717981287952493,0.6435782764566678,0.4851672769810502,0.5808724747158848,0.42386132814465355,0.511512944786552,0.507150481588096,0.5313677678203895,0.5249328238745,0.4387742719455108,0.5630555166640658,0.596897608688495,0.5191004299061852,0.5804665715070804,0.5989530110143342,0.6060259421016361,0.6630883096404838,0.5,0.5297245248729595,0.5294935235597731,0.4775522278625213,0.6811438340552101,0.5720420244088892,0.6467555771297022,0.5037374614356526,0.628869408705147,0.6392597580514916,0.6234693015422264,0.6760481128316662,0.6809134063410915,0.5636709861476347,0.5932791296033757,0.5753815291507782,0.6443678933343456,0.6717397085468592,0.5556816959049572
